"Name","id"
Edward Peacock,1563
Edward Pease,2763
Edward Pick,1598
Edward Price Houghton,992
Edward Priestman,3252
Edward Priestman (2),2427
Edward Richardson,2433
Edward Robinson,1721
Edward Rowley Morris,1418
Edward Ryan,1769
Edward Smith,2459
Edward Spooner,1918
Edward St Maur,1932
Edward Stamp,1935
Edward Sturman,1971
Edward Taylor,2475
Edward Tenison Ryan Tenison,2013
Edward Thomas,2839
Edward Thurlow,2038
Edward V Maur,1309
Edward W Martin,1291
Edward W Murphy,1449
Edward Warner,2134
Edward William Brabrook,243
Edward Wood,2225
Edwd Harris,2532
Edwin Bracher,2589
Edwin Brown,284
Edwin C Suttor,1975
Edwin Chadwick,375
Edwin Foxton Firby,698
Edwin Goadby,791
Edwin Henry Baverstock,127
Edwin Holborow King,1114
Edwin Lander,1150
Edwin Lee,1176
Edwin Ormond Brown,285
Edwin Ransom,1671
Egerton Ryerson,3290
Egypt,10
Eliza Barclay,2563
Eliza Bell,2289
Eliza Post,3249
Elizabeth Allen,2893
Elizabeth Bowley,2299
Elizabeth Charelton,2618
Elizabeth Dyer,2326
Elizabeth F Gibson,3071
Elizabeth G Dimsdale,2647
Elizabeth Hills,2376
Elizabeth Howard,2386
Elizabeth Howard (2),2385
Elizabeth Priestman,3253
Elizabeth S Dawes,2322
Elizabeth Tuckett,2847
Elliott Cresson,2628
Emil Arnold Praeger,1625
Emile Duhousset,620
Emma Letchworth,3159
Enrico Hillyer Giglioli,778
Entomological Society of London,74
Ephraim George Squier,1924
Erasmus (Ras) Darwin,537
Eric Williams,2188
Ernest Abraham Hart,897
Ernest Bates,124
Ernest Dieffenbach,579
Ernest Renan,1685
Ernst Hallier,863
Ernst Juch,1090
Ernst Wilhelm Ritter von Brucke,295
Erskine Perry,1583
Escott Chambers,380
Essex Field Club,48
Esther Beecham,2930
Estrade Flores,3051
Ethiopia,32
"Ethnological Society, New York",61
"Ethnological Society, Paris",160
Etienne Gustave Mery,1349
Eugene Dally,525
Eugene Morris,1419
Evan Powell Meredith,1346
Evert Julius Bonsdorff,218
Ex Libris Society,77
F  Drummond Davies,544
F  E Gibson,2352
F  Henry Wood,2226
F Allen,2894
F B  Bernard Natusch,1468
F C Dowley,3024
F G Courthope,478
F Good,3074
F H Fitzwilliam,708
F H Hobler,964
F H Janson,1054
F Hudson,1003
F J Atkins,2910
F J Bett,2936
F J Thompson,2480
F J Walker,2863
F L Cotton,475
F Maitland Innes,3128
F R Priestman,3254
F Seebohm,2804
F Squire,3321
F T Littey,1209
F Taylor,2476
F W Chesson,391
F W Coates,430
F W Harrer,887
F W Newman,1477
F W Ricketts,1699
F Woodhead,2877
Facundo Carulla,363
Fanny Backhouse,2912
Felix Garden,757
Fenwick T Poole,1613
Ferdinand Muller,1442
Ferdinand Vandeveer Hayden,910
Ferdinand Von Wrangell,2238
Fererra Pinheiro,3242
Field Naturalists Club of Victoria,173
Fielden Thorpe,2842
Filippo Manetta,1274
Finland,24
Flaxman Spurrell,1923
Folklore Society,65
Forster Fryer,3065
Fortescue John Morgan,1408
Fr Groth,3080
France,21
Frances Wright,3411
Francis Alex (Frank) Wenham,2156
Francis Beresford Wright,2242
Francis Brown,2599
Francis Campbell,338
Francis Campin,349
Francis Duncan,625
Francis E Fox,2659
Francis Egerton,649
Francis G P Neison,1471
Francis Galton,755
Francis George Cornelius Wolber,2222
Francis Gibson,2351
Francis Griffiths,839
Francis Ignatio Rickard,1697
Francis Kerridge Munton,1447
Francis Lloyd,1215
Francis May,2748
Francis R Spry,1922
Francis Richardson,1695
Francis Tagart,1989
Francis Tuckett,2849
Francis Wright,2879
Francisco Delgado Jugo,1091
Francisco E Pereira,1578
Franciscus Miklosich,1357
Francois Jules Pictet,1600
Frank Calvert,334
Frank Carr Beard,133
Frank Chance,383
Frank J Husband,1018
Frank Ramsay,1663
Frank Simpson,1857
Frank William Breach,257
Frank Wilson,2206
Frank Wrentmore,2240
Franklin Thomas Richards,1693
Fran̤ois Louis Nompar de Caumont La Force Castelnau,367
Fred Thompson,2022
Frederick A B Crawfurd,491
Frederick Alexander,2265
Frederick Ashby,2909
Frederick Augustus Haserick,900
Frederick Baines,2917
Frederick Bower,233
Frederick Braby,244
Frederick Brome,275
Frederick Butler Montgomerie,1393
Frederick Chatfield,389
Frederick Cock,434
Frederick Cooper,465
Frederick Crowley,2639
Frederick Duckworth,612
Frederick E Davis,548
Frederick Edmund Blyth,200
Frederick Edward Pearse,1567
Frederick Fearon,689
Frederick Firebrace,699
Frederick Fryer,2664
Frederick George Hilton Price,1631
Frederick George Lee,1177
Frederick George Shaw,1835
Frederick Green,816
Frederick Griffin,835
Frederick H Fox,2660
Frederick Henry Scott,1808
Frederick Hindmarsh,956
Frederick Hovenden,994
Frederick J Bell,2290
Frederick John Jeffery,1058
Frederick King Green,817
Frederick Lawrence,1167
Frederick Lucas,2735
Frederick Mackenzie Skues,1867
Frederick Martin Williams,2189
Frederick Ouvry,1527
Frederick R Izard,1040
Frederick Scott Archer,45
Frederick Snaith,1899
Frederick Stanley Carpenter,358
Frederick Theed,2016
Frederick Thompson,2023
Frederick Travers,2055
Frederick Tuckett,2486
Frederick W Aley,25
Frederick W Rogers,1732
Frederick Wells,3389
Frederick Wheeler,2870
Frederick Whittock Darby,532
Frederick William Cosens,473
Frederick William Hope,984
Frederick William Monk,1389
Frederick William Rudler,1758
Frederick Wills,3398
French Guiana,68
Friedrich Max Muller,1443
G  Jasper Nicholls,1484
G  Wythes Daniell,527
G A Forteath,725
G A Hutchinson,1020
G A Robinson,1723
G B Holmes,2702
G C Rankin,1669
G E Richardson,2786
G F Angas,2903
G F Whidbourne,2162
G Grimshaw,2364
G H Ogston,1515
G J D Heath,918
G J Gibson,3072
G Kasimates,1096
G M Tagore,1990
G Macgowan,1252
G N Mussabini,1456
G P Dall,524
G Pritchard,3257
G R Pumphrey,2781
G Ralston,3262
G S Brady,2592
G T Day,557
G W Alexander,2545
G W Spence,1911
G Williamson,2198
G van der Maalen,3174
G van der Maerlen,3179
Garrick Club,33
Genealogical and Historical Society of Great Britain,131
Geo Holmes,2534
Geographical Society of Paris,219
Geological Society,11
Geological Society of France,143
Geologist's Association,120
George (1) Campbell,339
George (1) Smith,1876
George (2) Campbell,340
George (2) Smith,1877
George Abbott,2881
George Alexander James,1051
George Allin,29
George Amner,34
George Atkinson,68
George Augustus Frederick Ruxton,1768
George Augustus Robinson,1724
George Balfour,98
George Bellas Greenough,822
George Bertram,171
George Blagrove Snell,1900
George Bonavia,212
George Bonham,215
George Boulton,228
George Bryant,297
George Busk,318
George Byham,324
George Byrne Lee,1178
George C Thompson,2024
George Calvert,335
George Carter,361
George Catlin,370
George Christie,2977
George Cook,2626
George Cooke,2995
George Courthope Green,818
George Critchett,498
George Crosfield,2316
George Curling Joad,1070
George Cutler,516
George Dalhousie Ramsay,1665
George Dawson,555
George Denman,563
George Dennis,565
George Dibley,572
George Duncan Gibb,774
George E Roberts,1712
George Edgeworth Fenwick,692
George Fleming,710
George Folsom,718
George Ford Copeland,467
George Fox,2341
George Frederick Rolph,1737
George Granville Francis Egerton,650
George Grenfell Glyn,790
George Grey,831
George H Pope,1617
George Hawkins,905
George Head,2371
George Henry Daw,553
George Hill,948
George Hill Smith,1878
George James Ivey,1039
George Jarvis,3133
George K H Paterson,1558
George L Neighbour,2752
George Lade,1141
George M Braggiotti,253
George Macleay,1266
George Maw,1311
George McHenry,1332
George Michael Perry,1584
George Moore,1398
George Mott,1435
George N Tatham,2473
George Nesbitt,1473
George North,1502
George O'Gorman,1511
George Palmer,2760
George Peacocke,1565
George Petrie,1590
George Pouchet,1624
George Pringle,1640
George Ralph Tate,1998
George Ramsay,1664
George Rawson,3269
George Rayner Croxford,505
George Rogers,1733
George Rolleston,1735
George Russell Dartnell,535
George S  Lennon Hunt,1013
George Sexton,1825
George Seymour,1826
George Smithson,2819
George St Clair,1926
George Stacey,2542
George Stacey Gibson,776
George Stancliff,3323
George Sturge,2831
George Suttor,1976
George T Hine,957
George T Kemp,3148
George Tate,1997
George Thomas,2840
George Thorne Ricketts,1700
George Treffry,2485
George Vaughan,2090
George Venables Vernon,2094
George W  (1) Brown,286
George Walker,2115
George Waterhouse,2140
George Webbe Dasent,538
George Webster,2148
George Whitely Smith,1879
George William Barrington,114
George William Marshall,1285
George William Septimus Piesse,1602
George Williams,2190
George Wilson,2504
George Windsor Earl,638
George Witt,2219
George Wollaston,2224
Georgia Historical Society,25
German Oriental Society,89
Germany,19
Gibraltar,28
Giustiniano Nicolucci,1494
Glasgow Art Club,18
Glasgow Secular School Society,184
Glasgow Sunday Educational Association,183
Goday Naraen Gajapati Rao,1672
Gonzalez Velasco,2093
Gopsill Brown,2600
Grafton Club,12
Gray Hester,2696
Greece,50
Gregory Tschurowsky,2065
Griffin Curtis Galt,753
Guards Club,49
Gurney Hoare,2380
Gurney Pease,2764
Gustaf Lindstrom,1204
Gustaf Von Duben,610
Gustav Oppert,1520
Gustavus Dressler,604
H  Albert Freuler,742
H  Brinsley Sheridan,1841
H  Burnard Owen,1529
H  Fowler Ransford,1670
H  Hodgson Rugg,1760
H  Victor Martin,1292
H  le Hon,980
H A Husband,1019
H B Larking,3156
H B Riddell,1701
H B Thorpe,3359
H Birkbeck,2296
H C  Grove Morris,1420
H C Rutherford,3288
H C Walton,2124
H Clerk,425
H Copham,468
H Driver,606
H E Garvey,3069
H G Gridley,834
H H Willis,3397
H Headley,2373
H I Staples,1940
H J B Hancock,871
H J Sturge,2832
H K Twyford,2078
H L Lobeck,3165
H Martin,3189
H McNicholl,1337
H N Holme,978
H O Wills,3399
H Purdon,1650
H R Adam,4
H R Rowcroft,1753
H Rolls,3284
H S Purdon,1651
H Squire,2824
H Taylor,2478
H V Simpson,1858
H W Howarth,998
H Wise,2508
Haggar Lowe,2733
Hahneman Medical Society,137
Haiti,78
Halifax Literary and Philosophical Society,170
Hamilton J Hulcee,1009
Hamilton Roe,1729
Handel Cossham,474
Handel Crosham,3003
Hannah Baker,2919
Hannah Good,3075
Hannah Scarr,2803
Hannah Scurr,3298
Harford Lury,2740
Harriett Warner,3382
Harry Crommelin Rowcroft,1754
Harry Parkes,1548
Harveian Society,4
Hastings and St Leonard's Philosophical Society,241
Hector Maclean,1264
Heinrich Richter,3274
Hendrick Agnis Chignell,392
Henri Milne-Edwards,1368
Henrietta Warner,3383
Henry (1) Brookes,278
Henry (2) Brookes,279
Henry (the father) Jackson,1042
Henry (the son) Jackson,1043
Henry A Hertz,934
Henry Alexander,2546
Henry Angus,2905
Henry Ashworth,61
Henry Augustus Cowper,481
Henry Barber,101
Henry Bowden Lyle,1246
Henry Brady,2300
Henry Brunskill,296
Henry Burden,308
Henry Burlingham,2604
Henry Butler,320
Henry Callaway,330
Henry Campbell,341
Henry Charlton,386
Henry Christopher Bunkell,305
Henry Christy,403
Henry Clare,406
Henry Clark,409
Henry Coates,431
Henry Cole,440
Henry Corles Bingham,181
Henry Crowley,503
Henry Danby Seymour,1827
Henry Dickman,575
Henry Distin,584
Henry Drummond Wolff,2223
Henry Duckworth,613
Henry E Gurney,2677
Henry Edward Jessop,1067
Henry F Mills,1364
Henry F Rivers,1707
Henry Fell Pease,2765
Henry Fletcher Hance,870
Henry Fox,2342
Henry Francis Jeune Guppy,851
Henry G Williams,2192
Henry Garland Matthews,1307
Henry George Bohn,205
Henry Greenway,823
Henry Hallam,862
