,Source,Target,religion_name,first_year,last_year
339,Edmund Backhouse,APS,Quaker,1861,1867
340,Edward Jun Backhouse,APS,Quaker,1851,1855
341,James Jun Backhouse,APS,Quaker,1863,1867
342,John Church Backhouse,APS,Quaker,1852,1852
343,J E Baker,APS,Quaker,1861,1867
344,James Baker,APS,Quaker,1861,1867
345,A P Balkwill,APS,Quaker,1862,1862
346,William Ball,APS,Quaker,1840,1866
347,Eliza Barclay,APS,Quaker,1851,1866
348,J Gurney Barclay,APS,Quaker,1852,1852
349,Jonathan Barrett,APS,Quaker,1860,1861
350,R Barrett,APS,Quaker,1853,1860
351,R C Barrow,APS,Quaker,1860,1864
352,S Barter,APS,Quaker,1861,1862
353,John D Bassett,APS,Quaker,1851,1867
354,John Baynes,APS,Quaker,1838,1838
355,John Beaumont,APS,Quaker,1839,1860
356,Rebecca Beaumont,APS,Quaker,1860,1866
357,William Beaumont,APS,Quaker,1860,1867
358,Samuel Beck,APS,Quaker,1861,1866
359,Deborah Beesley,APS,Quaker,1860,1867
360,Paul Bevan,APS,Quaker,1860,1867
361,Robert Bevan,APS,Quaker,1851,1854
362,Martha A Binyon,APS,Quaker,1866,1867
363,Thomas Binyon,APS,Quaker,1851,1860
364,S Birchall,APS,Quaker,1861,1862
365,Thomas Blain,APS,Quaker,1865,1867
366,J Blunsom,APS,Quaker,1861,1865
367,W Bott,APS,Quaker,1862,1862
368,Christopher Bowley,APS,Quaker,1838,1862
369,W C Bowley,APS,Quaker,1860,1862
370,Edwin Bracher,APS,Quaker,1861,1866
371,James Bracher,APS,Quaker,1861,1861
372,Lucy Bradshaw,APS,Quaker,1860,1861
373,G S Brady,APS,Quaker,1861,1861
374,Joseph B Braithwaite,APS,Quaker,1866,1867
375,S Braithwaite,APS,Quaker,1862,1862
376,Charles Brewin,APS,Quaker,1840,1840
377,Robert Brewin,APS,Quaker,1860,1867
378,Thomas Brewin,APS,Quaker,1860,1867
379,William Brewin,APS,Quaker,1860,1867
380,Francis Brown,APS,Quaker,1861,1867
381,Gopsill Brown,APS,Quaker,1860,1860
382,W W Brown,APS,Quaker,1861,1866
383,J F Burgess,APS,Quaker,1860,1861
384,Wilson Burgess,APS,Quaker,1852,1852
385,Henry Burlingham,APS,Quaker,1861,1867
386,Jonathan Burtt,APS,Quaker,1847,1867
387,P Burtt,APS,Quaker,1861,1861
388,Edward North Buxton,APS,Quaker,1838,1855
389,James Cadbury,APS,Quaker,1838,1867
390,John M Candler,APS,Quaker,1839,1867
391,Edward Carroll,APS,Quaker,1865,1865
392,Joseph Cash,APS,Quaker,1863,1867
393,Newman Cash,APS,Quaker,1838,1838
