"Name","birth_year","death_year","Target","first_year","last_year"
Elizabeth Charelton,NA,NA,APS,1861,1867
James Charleton,NA,NA,APS,1839,1839
Robert Charleton,NA,NA,APS,1856,1867
Richard Christy,NA,NA,APS,1840,1866
Cyrus Clark,NA,NA,APS,1861,1861
James Clark (2),NA,NA,APS,1860,1866
Joseph Clark,NA,NA,APS,1860,1866
W S Clark,NA,NA,APS,1861,1866
George Cook,NA,NA,APS,1866,1866
J H Cotterell,NA,NA,APS,1862,1862
Elliott Cresson,NA,NA,APS,1839,1852
W D Crewdson,NA,NA,APS,1838,1840
Ann Cropper,NA,NA,APS,1861,1867
James Cropper,NA,NA,APS,1866,1867
John Cropper,NA,NA,APS,1866,1867
Joseph Crosfield,NA,NA,APS,1861,1867
William Crosfield,NA,NA,APS,1861,1864
Jeremiah Cross,NA,NA,APS,1861,1866
Martha Cross,NA,NA,APS,1860,1860
Edward A Crouch,NA,NA,APS,1857,1860
Abraham Crowley,NA,NA,APS,1851,1855
Frederick Crowley,NA,NA,APS,1865,1867
J Cudworth,NA,NA,APS,1860,1863
Mary Cudworth,NA,NA,APS,1861,1867
William Cudworth,NA,NA,APS,1861,1867
Lucy Darby,NA,NA,APS,1851,1855
Richard Day,NA,NA,APS,1851,1851
William Dent,NA,NA,APS,1851,1855
Barnard Dickinson,NA,NA,APS,1851,1853
Elizabeth G Dimsdale,NA,NA,APS,1867,1867
J Doubleday,NA,NA,APS,1866,1866
R Doubleday,NA,NA,APS,1866,1866
Joseph Eaton,NA,NA,APS,1839,1858
Thomas Emmott,NA,NA,APS,1866,1867
Mary Exton,NA,NA,APS,1852,1860
William Exton,NA,NA,APS,1851,1851
Abraham Fisher,NA,NA,APS,1859,1865
Rachel Fowler,NA,NA,APS,1851,1867
Thomas Fowler,NA,NA,APS,1838,1851
Alfred L Fox,NA,NA,APS,1867,1867
Francis E Fox,NA,NA,APS,1838,1867
Frederick H Fox,NA,NA,APS,1862,1867
J G Fox,NA,NA,APS,1858,1858
R Barclay Fox,NA,NA,APS,1851,1857
Philip Frith,NA,NA,APS,1839,1840
Frederick Fryer,NA,NA,APS,1861,1867
John Gayner,NA,NA,APS,1865,1865
Deborah Gibson,NA,NA,APS,1866,1866
E Gilkes,NA,NA,APS,1861,1861
Charles Gillett,NA,NA,APS,1860,1867
Jonathan Gillett,NA,NA,APS,1860,1867
Burwood Godlee,NA,NA,APS,1839,1867
Alexander Grace,NA,NA,APS,1862,1867
Anna Gurney,NA,NA,APS,1851,1857
Edmund Gurney,NA,NA,APS,1851,1855
Henry E Gurney,NA,NA,APS,1855,1866
John Gurney,NA,NA,APS,1839,1855
Samuel Gurney,NA,NA,APS,1838,1867
Daniel P Hack,NA,NA,APS,1851,1867
John Barton Hack,NA,NA,APS,1839,1851
Cornelius Hanbury,NA,NA,APS,1838,1867
Cornelius x Jun Hanbury,NA,NA,APS,1866,1867
Daniel Bell Hanbury,NA,NA,APS,1851,1867
Samuel Hare,NA,NA,APS,1861,1866
Charles L Harford,NA,NA,APS,1838,1855
John Harford,NA,NA,APS,1838,1851
Summers Harford,NA,NA,APS,1838,1855
William Hargreaves,NA,NA,APS,1860,1867
John Harlock,NA,NA,APS,1860,1867
Theodore Harris,NA,NA,APS,1862,1867
John Herschell,NA,NA,APS,1839,1851
Gray Hester,NA,NA,APS,1861,1867
M A Hewitson,NA,NA,APS,1867,1867
Henry Hipsley,NA,NA,APS,1862,1867
John Hodgkin,NA,NA,APS,1851,1867
J Holdsworth,NA,NA,APS,1860,1861
Richard Holdsworth,NA,NA,APS,1864,1867
G B Holmes,NA,NA,APS,1840,1840
