"Name","birth_year","death_year","religion_1_quaker"
William Nathan Chipperfield,1822,1873,NA
P H Chittenden,NA,NA,NA
T J Cholmondeley,1818,1883,NA
William Dingle Chowne,1791,1870,NA
Henry Christy,1810,1865,1
Thomas junior Christy,NA,NA,NA
James Graham Churcher,NA,NA,NA
Henry Clare,NA,NA,NA
x Clarendon,1800,1870,NA
x Clark,NA,NA,NA
Henry Clark,NA,NA,NA
James Clark,1788,1870,NA
C Clarke,NA,NA,NA
Henry Wilberforce Clarke,1840,1905,NA
Hyde Clarke,1815,1895,NA
John Clarke,1802,1879,NA
Robert Clarke,NA,NA,NA
William Henry Claus,NA,NA,NA
William Aloysius Clavering,1800,1872,NA
T H  Jun Clay,NA,NA,NA
William Clay,1791,1869,1
John (1) Cleghorn,NA,NA,NA
John (2) Cleghorn,NA,NA,NA
John Cleland,1835,NA,NA
William James Clement,1802,1870,NA
John Clendinning,NA,NA,NA
H Clerk,NA,NA,NA
Maurice Philip Clifford,NA,NA,NA
William Clift,1775,1849,NA
Edward North Clifton,NA,NA,NA
F W Coates,NA,NA,NA
Henry Coates,NA,NA,NA
Thomas Coates,NA,NA,NA
Frederick Cock,NA,NA,NA
John jun Cock,NA,NA,NA
W  Spencer Cockings,NA,NA,NA
James Coke,NA,NA,NA
John Colam,1827,1910,NA
W P Colchester,NA,NA,NA
Henry Cole,1808,1882,NA
Richard Beverley Cole,1829,1901,NA
Vicat Cole,1833,1893,NA
Thomas Edward Colebrooke,1813,1890,NA
Edmund Walter Coleman,NA,1870,NA
John Sherrard Coleman,1828,1905,NA
x Collier,NA,NA,1
John Payne Collier,1789,1883,NA
Thomas Collings,1798,1869,NA
John Frederick Collingwood,1830,1923,NA
S  Edwin Collingwood,NA,NA,NA
W W Collins,NA,1880,NA
John (1) Collinson,1842,1922,NA
x Colonsay,1793,1874,NA
John Congreve,NA,NA,NA
John Conolly,1794,1866,NA
Moncure Daniel Conway,1832,1907,NA
Samuel John Cooke,NA,NA,NA
William Fothergill Cooke,1806,1879,NA
William Gifford Cookesley,1802,1880,NA
Daniel Cooper,1821,1902,NA
Frederick Cooper,NA,NA,NA
Holmes Coote,1817,1872,NA
George Ford Copeland,1810,1873,NA
H Copham,NA,NA,NA
Thomas Copings,NA,NA,NA
William C Copperthwaite,1809,1890,NA
Tullie Cornthwaite,1807,NA,NA
William Cory,NA,1868,NA
Frederick William Cosens,1819,1889,NA
Handel Cossham,1824,1890,NA
F L Cotton,NA,NA,NA
W Coulson,1795,1860,NA
Samuel Courtauld,1793,1881,NA
F G Courthope,NA,NA,NA
J  Jermyn Cowell,NA,NA,NA
Joseph jun Cowen,1829,1900,NA
Henry Augustus Cowper,NA,NA,NA
Irwin Edward Bainbridge Cox,1838,1922,NA
J W  Conrad Cox,NA,NA,NA
W T Cox,NA,NA,NA
James Coxe,1811,1878,NA
Arthur Edmund Crafter,1838,1884,NA
Henry Valentine Crassweller,NA,NA,NA
Thomas William Craster,1829,1888,NA
Tom junr Craston,NA,NA,NA
