"Source","Target"
von Hochstetter,Austria
Thomas Hodge,Scotland
Thomas (1) Hodgkin,London
Brian Houghton Hodgson,country
Brian Houghton Hodgson,India
Kirkman Daniel Hodgson,London
Kirkman Daniel Hodgson,country
"x Hoeven, Van der",Holland
Carl Alphonse Hoffman,London
Jennings Holgate,country
James Holland,London
Robert Hollond,country
x Holmberg,Finland
William Holmes,London
H  le Hon,Belgium
T H Hood,Scotland
Joseph Hooker,London
Frederick William Hope,country
James Hope,India
John Baker Hopkins,London
W J S Horton,country
John Camden Hotten,London
Henry Hotze,London
x Houghton,London
Alfred Robert Houghton,Borneo
Edward Price Houghton,Borneo
Frederick Hovenden,London
Alfred How,London
C F Howard,London
W T Howard,London
Oswald Bloomfield Howell,London
Henry Hoyle Howorth,country
Henry Hoyle Howorth,London
Charles William Hoyland,Turkey
F Hudson,country
Henry Hudson,Ireland
Robinson Hudson,country
Richard Hughes,country
Thomas McKenny Hughes,London
Hamilton J Hulcee,America
Thomas Humble,country
"Alexander Humboldt, Von",Germany
Augustus H Hunt,country
George S  Lennon Hunt,Brazil
James Hunt,country
James Hunt,London
John (1) Hunt,country
John (2) Hunt,London
William Wilson Hunter,India
William Wilson Hunter,country
William Wilson Hunter,Germany
Frank J Husband,London
H A Husband,country
G A Hutchinson,London
Jonathan Hutchinson,London
Thomas Henry Huxley,London
Josef Hyrtl,Austria
Walter Hyslop,London
William Imrie,London
Joseph Ince,London
Robert Ingham,London
John Inglis,New Zealand
Robert M Inman,country
A Ioannides,London
A Ioannides,Egypt
Arthur Constantine Ionides,Greece
J  Clayfield Ireland,country
George James Ivey,Africa
Frederick R Izard,London
Henry (the father) Jackson,country
Henry (the son) Jackson,country
Henry Willan Jackson,London
Henry William (1) Jackson,London
J  Hughlings Jackson,London
J W Jackson,Scotland
J W Jackson,London
Le Grand Jacob,country
George Alexander James,country
Horatio Gay James,Hong Kong
F H Janson,country
William Jardine,Scotland
John Jarratt,country
John Moore Jeffcott,country
Frederick John Jeffery,country
William S Jeffery,London
Edmund Jeffries,Ceylon
Charles Jellicoe,London
Newton Edward Jennings,London
William Jennings,London
William Jennings,Hong Kong
Leonard Jenyns LATER Blomefield,country
William Jepson,country
C Jervise,London
Henry Edward Jessop,country
Augustus Jessopp,country
George Curling Joad,country
Arthur Johnson,country
Henry Johnson,London
Henry James Johnson,London
Henry Moreton Johnson,London
Richard Johnson,country
J C  Hope Johnstone,London
x Johore,Singapore
x Johore,London
C  Treasure Jones,China
J  Pryce Jones,country
James Jones,China
Robert Jones,London
W T Jones,London
William Arthur Jones,country
William Jordan,London
Algernon Joy,country
Ernst Juch,London
Francisco Delgado Jugo,Spain
J  Beete Jukes,country
x Kalmus,Austria
G Kasimates,Greece
x Kaup,Germany
J W  (1) Kaye,country
J W  (2) Kaye,country
J W  (2) Kaye,London
William Keene,Australia
William Kelly,France
William Henry Kemm,country
T M Kendall,country
James (1) Kennedy,London
Richard Hartley Kennedy,London
Claude Buchanan Ker,country
James Kernahan,London
W B Kesteven,London
Nicolai de Khanikof,France
Joshua Edward Killick,London
William Kincaid,India
David King,country
Edwin Holborow King,London
Richard King,London
S W King,country
William King,Ireland
Phillip Kingsford,London
Charles Kingsley,country
W R H Kinlay,Scotland
David Kinloch,Africa
Robert Reid Kirkwood,Africa
Robert Reid Kirkwood,Scotland
Richard Kirwan,country
Samuel Kisch,country
Robert Knox,Scotland
de Koninck,Belgium
Isidor Kopernicki,Romania
