"Source","Target","first_year","last_year"
John Stothert Bartrum,AI,,
John Stothert Bartrum,ESL,,
John Stothert Bartrum,Royal College of Surgeons,,
John Stothert Bartrum,country,,
John Stothert Bartrum,medical,,
Adolf Bastian,ESL,,
Adolf Bastian,Germany,,
Adolf Bastian,academic,,
Adolf Bastian,museum work,,
Thomas Bateman,ESL,,
Thomas Bateman,antiquarian,,
Thomas Bateman,archaeologist,,
Thomas Bateman,country,,
Ernest Bates,ASL,,
Ernest Bates,architect,,
Ernest Bates,civil engineer,,
Ernest Bates,country,,
William Battye,AI,,
William Battye,ASL,,
William Battye,Royal College of Surgeons,,
William Battye,Royal Horticultural Society of London,,
William Battye,country,,
William Battye,medical,,
Edwin Henry Baverstock,ASL,,
Edwin Henry Baverstock,London,,
Edwin Henry Baverstock,Royal Society of Literature,,
Edwin Henry Baverstock,business,,
James Bainbridge Baxter,ASL,,
James Bainbridge Baxter,London,,
James Bainbridge Baxter,Royal College of Surgeons,,
James Bainbridge Baxter,Society of Antiquaries,,
Thomas Henry Baylis,ESL,,
Thomas Henry Baylis,London,,
Samuel Beal,ASL,,
Samuel Beal,Royal Asiatic Society,,
Samuel Beal,armed services,,
Samuel Beal,church,,
Samuel Beal,country,,
John S Beale,ASL,,
John S Beale,London,,
Lionel John Beale,ESL,,
Lionel John Beale,London,,
Lionel John Beale,Royal College of Surgeons,,
Lionel John Beale,Royal Society of Literature,,
Lionel John Beale,medical,,
Frank Carr Beard,ESL,,
Frank Carr Beard,London,,
Frank Carr Beard,medical,,
Amos Beardsley,ASL,,
Amos Beardsley,Geological Society,,
Amos Beardsley,Linnean Society of London,,
Amos Beardsley,country,,
William Beattie,Biblical Archaeological Society,,
William Beattie,British Archaeological Society,,
William Beattie,ESL,,
William Beattie,Historical Institute,,
William Beattie,Institut d'Afrique a Paris,,
William Beattie,London,,
William Beattie,Royal College of Physicians,,
William Beattie,medical,,
Richard Beaumont,ESL,,
Richard Beaumont,Royal Society,,
Richard Beaumont,country,,
Hugh J C Beavan,ASL,,
Hugh J C Beavan,Cannibal Club,,
Hugh J C Beavan,Grafton Club,,
Hugh J C Beavan,Junior Carlton Club,,
Hugh J C Beavan,London,,
Hugh J C Beavan,Royal Geographical Society,,
R C Beavan,ASL,,
R C Beavan,India,,
R C Beavan,armed services,,
Alfred Becquet,ASL,,
Alfred Becquet,Belgium,,
x Beechey,ESL,,
