"Name","quaker","first_year","last_year","birth_year","death_year"
John Hay,NA,1861,1862,NA,NA
Ferdinand Vandeveer Hayden,NA,1869,1871,"1,829","1,887"
R W Haynes,NA,1861,1861,NA,NA
Peter Christian Heldman,NA,1862,1862,"1,808","1,866"
Alexander Henderson,NA,1854,1871,"1,804",NA
Robert Henderson,NA,1863,1871,"1,811","1,871"
Joseph Henry,NA,1869,1871,"1,797","1,878"
James Hepburn,NA,1867,1869,"1,811","1,869"
Robert Hepburn,NA,1855,1871,NA,NA
B Hewitt,NA,1871,1871,NA,NA
Jonas B Hewitt,NA,1869,1869,NA,NA
James Heywood,NA,1844,1871,"1,810","1,897"
Arthur Hill,NA,1844,1844,NA,NA
Frederick Hindmarsh,NA,1844,1871,NA,"1,875"
x Hitchman,NA,1853,1853,"1,805","1,867"
Thomas (1) Hodgkin,1,1844,1862,"1,798","1,866"
Brian Houghton Hodgson,NA,1854,1871,"1,801","1,894"
Kirkman Daniel Hodgson,NA,1863,1871,"1,814","1,879"
"x Hoeven, Van der",NA,1861,1868,"1,801","1,868"
J W Holgate,NA,1843,1845,NA,NA
Robert Hollond,NA,1862,1867,"1,808","1,877"
x Holmberg,NA,1861,1861,"1,818","1,864"
H N Holme,NA,1843,1845,NA,NA
Joseph Hooker,NA,1868,1871,"1,817","1,911"
Frederick William Hope,NA,1846,1851,"1,797","1,862"
W J S Horton,NA,1864,1868,NA,NA
John Camden Hotten,NA,1866,1871,"1,832","1,873"
Alfred How,NA,1854,1854,NA,NA
Henry Hoyle Howorth,NA,1866,1871,"1,842","1,923"
T A Hughes,NA,1844,1844,NA,NA
Thomas McKenny Hughes,NA,1869,1871,"1,832","1,917"
"Alexander Humboldt, Von",NA,1853,1859,"1,769","1,859"
George S  Lennon Hunt,NA,1862,1870,NA,NA
James Hunt,NA,1856,1869,"1,833","1,869"
John (2) Hunt,NA,1866,1871,NA,"1,879"
William Wilson Hunter,NA,1870,1871,"1,840","1,900"
Frank J Husband,NA,1862,1862,NA,NA
H A Husband,NA,1867,1868,NA,NA
Thomas Henry Huxley,NA,1863,1871,"1,825","1,895"
William Imrie,NA,1848,1867,"1,836","1,906"
Robert Ingham,NA,1844,1862,"1,793","1,875"
John Inglis,NA,1854,1871,"1,808","1,891"
Robert M Inman,NA,1869,1871,NA,NA
Arthur Constantine Ionides,NA,1844,1850,"1,810","1,890"
J  Clayfield Ireland,NA,1860,1862,NA,NA
x Isenburg,NA,1854,1871,NA,NA
Henry (the father) Jackson,NA,1851,1866,"1,806","1,866"
x Jagor,NA,1870,1870,"1,816","1,900"
F H Janson,NA,1863,1870,NA,NA
John Moore Jeffcott,NA,1869,1871,"1,816","1,892"
Edmund Jeffries,NA,1864,1871,NA,NA
x Johore,NA,1866,1871,"1,833","1,895"
James Jones,NA,1862,1871,NA,NA
William Jones,NA,1848,1852,NA,NA
William Arthur Jones,NA,1869,1871,"1,818","1,873"
William Jordan,NA,1861,1862,NA,NA
J  Beete Jukes,NA,1846,1848,"1,811","1,869"
J Kaines,NA,1844,1844,NA,NA
J W  (1) Kaye,NA,1847,1847,NA,NA
Walter K Kelly,NA,1844,1845,NA,NA
James (1) Kennedy,NA,1853,1858,NA,NA
Richard Hartley Kennedy,NA,1855,1868,NA,NA
James Kernahan,NA,1868,1869,"1,827","1,875"
David King,NA,1844,1866,NA,"1,866"
Joseph Charles King,NA,1843,1843,NA,NA
Richard King,NA,1844,1871,"1,811","1,876"
S W King,NA,1861,1863,NA,NA
Phillip Kingsford,NA,1844,1851,NA,NA
Charles Kingsley,NA,1856,1871,"1,819","1,875"
Andrew Valentine Kirwan,NA,1843,1844,"1,801","1,870"
Richard Kirwan,NA,1869,1871,"1,828","1,872"
J L Knapp,NA,1854,1871,NA,NA
William Knight,NA,1848,1848,NA,NA
Robert Knox,NA,1843,1845,"1,791","1,862"
Samuel Harley Kough,NA,1855,1855,NA,NA
Samuel Laing,NA,1863,1871,"1,812","1,897"
Jones Lamprey,NA,1869,1869,"1,824","1,900"
Augustus Henry Lane Fox later Pitt Rivers,NA,1861,1871,"1,827","1,900"
Andrew Lang,NA,1861,1871,"1,844","1,912"
J Langlands,NA,1867,1871,NA,NA
R Langlands,NA,1867,1867,NA,NA
Robert Gordon Latham,NA,1844,1853,"1,812","1,888"
Joseph Law,NA,1852,1852,NA,"1,897"
Edward Lawford,NA,1857,1871,"1,820","1,899"
John Lawrence,NA,1856,1856,NA,NA
Henry N Lay,NA,1863,1867,NA,NA
Austen Henry Layard,NA,1853,1871,"1,817","1,894"
x Layland,NA,1869,1869,NA,NA
John Edward Lee,NA,1870,1871,"1,808","1,887"
J G S Lefevre,NA,1843,1848,NA,NA
x Lefroy,NA,1870,1870,"1,817","1,890"
Joseph Leidy,NA,1869,1871,"1,823","1,891"
Arthur Charles Wriothesley Lennox,NA,1866,1871,"1,842","1,876"
Richard Lepsius,NA,1854,1871,"1,810","1,884"
Karl Georg Friedrich Rudolf Leuckart,NA,1861,1871,"1,822","1,898"
Malcolm Lewin,NA,1850,1869,NA,"1,869"
James Lewis,NA,1855,1855,NA,NA
x Library of the Corporation of London,NA,1866,1866,NA,NA
Joseph Lister,1,1844,1847,"1,827","1,912"
W J Little,NA,1844,1844,NA,NA
Edmund Lloyd,NA,1861,1861,NA,NA
Francis Lloyd,NA,1844,1850,NA,NA
William Horton Lloyd,1,1844,1847,NA,NA
William Lockhart,NA,1861,1871,"1,811","1,896"
Abraham Logan,NA,1863,1871,"1,816","1,873"
J R Logan,NA,1848,1869,"1,819","1,869"
x Londesborough,NA,1854,1857,"1,834","1,900"
William Long,NA,1869,1871,"1,817","1,886"
Horatio Love,NA,1850,1871,NA,"1,882"
x Lovewell,NA,1845,1845,NA,NA
John Lubbock,NA,1863,1871,"1,834","1,913"
Johann Constantin August Lucae,NA,1861,1871,"1,835","1,911"
J W Lukis,NA,1870,1871,"1,816","1,894"
John Gray Macfarlane,NA,1865,1871,NA,NA
G Macgowan,NA,1861,1871,NA,NA
K Mackenzie,NA,1856,1856,NA,NA
Samuel Joseph Mackie,NA,1861,1864,"1,823","1,902"
Lauchlan Mackinnon,NA,1862,1862,"1,817","1,888"
Daniel Mackintosh,NA,1861,1868,"1,815","1,891"
J Mackrell,NA,1850,1862,NA,NA
Samuel Maclean,NA,1854,1856,"1,818","1,864"
George Macleay,NA,1869,1869,"1,809","1,891"
Andrew Maclure,NA,1866,1871,"1,813","1,886"
Charles James Major,NA,1844,1844,NA,NA
Charles Malcolm,NA,1844,1851,"1,782","1,851"
William Elphinstone Malcolm,NA,1844,1871,"1,817","1,907"
Alfred Mallalieu,NA,1844,1844,NA,NA
Robert James Mann,NA,1866,1871,"1,817","1,886"
Clements Robert Markham,NA,1864,1871,"1,830","1,916"
Matthew Henry Marsh,NA,1862,1871,"1,810","1,881"
Peter Marshall,NA,1844,1844,NA,NA
William Marshall,NA,1866,1867,"1,796","1,872"
Edward Martin,NA,1844,1844,NA,NA
Richard Biddulph Martin,NA,1868,1871,"1,838","1,916"
Thomas Martin,NA,1844,1844,NA,NA
James Wood Mason,NA,1869,1871,"1,846","1,893"
Edward V Maur,NA,1861,1861,"1,804","1,885"
Alfred Maury,NA,1861,1871,"1,817","1,892"
George Maw,NA,1865,1868,"1,832","1,912"
Peter Benson Maxwell,NA,1867,1871,"1,817","1,893"
Thomas May,NA,1844,1844,NA,NA
Joseph Mayer,NA,1854,1871,"1,803","1,886"
William Frederick Mayers,NA,1864,1871,"1,831","1,878"
John S Mayson,NA,1856,1864,"1,825",NA
James McClelland,NA,1854,1870,"1,799","1,879"
John Ferguson McLennan,NA,1870,1871,"1,827","1,881"
John Frederick McNair,NA,1866,1871,"1,828","1,910"
H McNicholl,NA,1854,1854,NA,NA
Thomas Taylor Meadows,NA,1854,1868,"1,815","1,868"
James Aitken Meigs,NA,1861,1871,"1,829","1,879"
Edward Meryon,NA,1844,1844,NA,NA
Samuel Rush Meyrick,NA,1843,1843,"1,783","1,848"
William Augustus Miles,NA,1851,1871,NA,NA
Joseph Milligan,NA,1861,1871,"1,807","1,884"
Henri Milne-Edwards,NA,1853,1871,"1,800","1,885"
x Milton,NA,1864,1871,"1,839","1,877"
Albert Mitchell,NA,1868,1871,NA,NA
Alexander (1) Mitchell,NA,1858,1871,"1,831","1,873"
Matthew Moggridge,NA,1869,1871,"1,803","1,882"
J Monro,NA,1854,1854,NA,NA
Patrick Montgomery,NA,1864,1867,NA,NA
Robert Mortimer Montgomery,NA,1863,1868,NA,NA
John Moody,NA,1868,1871,NA,NA
Joseph Moore,NA,1844,1856,NA,"1,856"
Alexander Morison,NA,1844,1855,"1,779","1,866"
Edward Morris,NA,1869,1869,NA,NA
Edward Rowley Morris,NA,1870,1871,"1,828","1,893"
Eugene Morris,NA,1869,1871,NA,NA
John Morris,NA,1869,1871,"1,823","1,905"
Richard Morris,NA,1869,1869,NA,NA
Walter Morrison,NA,1870,1871,"1,836","1,921"
J Muir,NA,1865,1869,"1,810","1,882"
