"Name","quaker","first_year","last_year","birth_year","death_year"
Thomas Moss,NA,1865,1866,NA,NA
C B Mosse,NA,1866,1870,NA,NA
George Mott,NA,1866,1871,"1,831","1,906"
Joseph Mould,NA,1864,1866,NA,NA
Walter Moxon,NA,1868,1868,NA,NA
Henry Muirhead,NA,1867,1871,"1,814","1,890"
August Muller,NA,1864,1866,"1,848","1,892"
Ferdinand Muller,NA,1864,1864,"1,825","1,896"
Friedrich Max Muller,NA,1865,1871,"1,823","1,900"
Richard Mullins,NA,1868,1869,NA,NA
Edward W Murphy,NA,1863,1866,"1,802","1,877"
Edward Murray,NA,1868,1868,NA,NA
J C Murray,NA,1867,1871,NA,NA
John (1) Murray,NA,1865,1868,NA,NA
John (2) Murray,NA,1865,1869,NA,NA
John George Musgrave,NA,1864,1866,NA,NA
Dadabhai Naoroji,NA,1864,1867,"1,825","1,917"
Charles Ottley Groom Napier,NA,1865,1871,"1,839","1,894"
D W Nash,NA,1865,1865,"1,809","1,876"
Robert Lucas Nash,NA,1868,1871,"1,818","1,871"
Samuel Nash,NA,1870,1871,NA,NA
F B  Bernard Natusch,NA,1865,1871,NA,NA
George Nesbitt,NA,1863,1869,NA,NA
J R Neville,NA,1865,1865,NA,NA
Literary and Philosophical Society of Newcastle,NA,1866,1866,NA,NA
William Newmarch,NA,1864,1867,NA,NA
P H Newnham,NA,1864,1871,NA,NA
Alfred Vincent Newton,NA,1865,1871,NA,NA
Henry William Newton,NA,1863,1869,NA,NA
Robert S Newton,NA,1868,1871,NA,NA
Thomas Nicholas,NA,1866,1869,NA,NA
G  Jasper Nicholls,NA,1864,1871,NA,NA
Charles Nicholson,NA,1863,1865,"1,808","1,903"
John Peede Segrave Carington Nicholson,NA,1864,1866,NA,NA
Giustiniano Nicolucci,NA,1864,1871,"1,819","1,904"
Sven Nilsson,NA,1865,1871,"1,787","1,883"
Roden Noel,NA,1864,1870,"1,834","1,894"
John Spencer Noldwritt,NA,1864,1868,NA,NA
Karl Friedrich Nordmann,NA,1868,1871,"1,830",NA
Henry Norsworthy,NA,1867,1871,NA,NA
George North,NA,1863,1867,NA,NA
Samuel William North,NA,1863,1871,NA,NA
Josiah Clark Nott,NA,1863,1871,"1,804","1,873"
John Nottingham,NA,1867,1871,"1,810","1,895"
Richard Maddock Nunn,NA,1865,1871,NA,"1,876"
Charles O'Callaghan,NA,1866,1871,NA,"1,875"
Luke Smyth O'Connor,NA,1864,1871,"1,806","1,873"
J L O'Sullivan,NA,1864,1869,"1,813","1,895"
G H Ogston,NA,1864,1871,NA,NA
Samuel Pasfield Oliver,NA,1868,1869,"1,838","1,907"
William M Ord,NA,1865,1869,"1,834","1,902"
John Benn Ormathwaite,NA,1864,1871,"1,798","1,881"
John William Willoughby Osborne,NA,1864,1871,"1,833","1,881"
Thomas F Overman,NA,1865,1866,NA,NA
H  Burnard Owen,NA,1863,1867,NA,NA
John Fletcher Owen,NA,1868,1871,"1,839","1,924"
Richard Owen,NA,1863,1871,"1,804","1,892"
Robert Brisco Owen,NA,1863,1871,"1,799","1,883"
Samuel R J Owen,NA,1864,1871,NA,NA
J D V Packman,NA,1863,1866,"1,813","1,885"
Henry James Paine,NA,1867,1869,NA,NA
William Paley,NA,1867,1869,"1,824","1,899"
Silas Palmer,NA,1863,1871,"1,815","1,875"
Louis Philippe d'Orleans Paris,NA,1865,1866,"1,838","1,894"
Matthew Paris,NA,1865,1866,NA,NA
J W Parker,NA,1863,1870,"1,792","1,870"
Walter Mantell Parker,NA,1870,1871,NA,NA
John Parnell,NA,1864,1869,NA,NA
J  Charlton Parr,NA,1868,1871,NA,NA
King John Parr,NA,1871,1871,NA,NA
Dashwood G Parry,NA,1863,1867,NA,NA
A W Parsons,NA,1865,1866,NA,NA
T E Partridge,NA,1865,1870,NA,NA
Theodore D'Orville Partridge,NA,1867,1871,NA,"1,897"
Alexander Paspati,NA,1867,1871,"1,814","1,891"
George K H Paterson,NA,1865,1868,NA,NA
Robert Paterson,NA,1867,1867,"1,814","1,889"
B H Paul,NA,1865,1867,NA,NA
R W Payne,NA,1866,1871,NA,NA
Edward Peacock,NA,1864,1871,"1,831","1,915"
Thomas Bevill Peacock,NA,1863,1871,"1,812","1,882"
George Peacocke,NA,1865,1869,"1,829","1,871"
Charles Thomas Pearce,NA,1867,1869,"1,815","1,883"
Frederick Edward Pearse,NA,1865,1871,"1,833","1,900"
Alfred Henry Pechell,NA,1866,1871,"1,827","1,885"
J M Peebles,NA,1869,1869,NA,NA
Robert Peel,NA,1866,1871,"1,838","1,894"
John Peiser,NA,1863,1871,"1,801","1,886"
W S Pendon,NA,1866,1866,NA,NA
William Peppe,NA,1869,1871,NA,"1,937"
William Perkins,NA,1866,1871,NA,NA
James Perrin,NA,1866,1871,"1,801","1,888"
John Beswick Perrin,NA,1864,1865,NA,"1,887"
Augustus E G Perrot,NA,1867,1869,"1,857","1,880"
S G F Perry,NA,1865,1868,NA,NA
Augustus Heinrich Petermann,NA,1868,1871,"1,822","1,878"
Horace William Petherick,NA,1863,1871,"1,839","1,919"
George Petrie,NA,1865,1871,"1,818","1,875"
Barnet Phillips,NA,1866,1869,"1,827","1,905"
Philip Phoebus,NA,1863,1867,"1,804","1,880"
Edward Pick,NA,1863,1864,NA,NA
Francois Jules Pictet,NA,1863,1871,"1,809","1,872"
George William Septimus Piesse,NA,1864,1865,"1,820","1,882"
Luke Owen Pike,NA,1863,1869,"1,835","1,915"
Bedford Pim,NA,1864,1871,"1,826","1,886"
Thomas Ryan Pinchis,NA,1868,1869,"1,825","1,869"
W Pinkerton,NA,1863,1871,"1,809","1,871"
James Pinnock,NA,1866,1867,NA,NA
John Plant,NA,1866,1869,NA,NA
John Platts,NA,1869,1871,"1,830","1,904"
Charles Plummer,NA,1864,1869,"1,831",NA
Fenwick T Poole,NA,1866,1866,NA,NA
John Daniel Poole,NA,1866,1867,NA,NA
Matthew Conway Poole,NA,1871,1871,"1,841","1,885"
Reginald Stuart Poole,NA,1863,1867,"1,832","1,895"
R Pope,NA,1869,1870,NA,"1,870"
R B Porter,NA,1867,1869,NA,NA
George Pouchet,NA,1863,1871,"1,833","1,894"
Emil Arnold Praeger,NA,1866,1867,"1,817",NA
Henry Pratt,NA,1866,1867,NA,NA
Charles Sharp Price,NA,1870,1871,NA,NA
Frederick George Hilton Price,NA,1868,1871,"1,842","1,909"
Thomas Prichard,NA,1865,1871,NA,"1,878"
Henry jun Prigg,NA,1863,1871,NA,NA
George Pringle,NA,1866,1869,NA,NA
Thomas junr Pritchard,NA,1866,1869,"1,826","1,874"
William T Pritchard,NA,1864,1865,"1,829","1,907"
James C Proctor,NA,1867,1867,NA,NA
Hyde Pullen,NA,1863,1871,NA,NA
H Purdon,NA,1866,1867,NA,NA
H S Purdon,NA,1866,1868,"1,843","1,906"
Bernard Quaritch,NA,1865,1871,"1,819","1,899"
William Quin,NA,1866,1871,"1,817","1,871"
John Radcliffe,NA,1864,1869,NA,NA
James Rae,NA,1864,1871,NA,"1,891"
Antonio Raimondi,NA,1866,1871,"1,826","1,890"
"A , jun Ramsay",NA,1863,1871,NA,NA
Frank Ramsay,NA,1868,1871,"1,821","1,884"
William Francis Ramsay,NA,1867,1871,NA,NA
Jabez Spence Ramskill,NA,1865,1871,"1,825","1,897"
G C Rankin,NA,1864,1866,NA,NA
Edwin Ransom,NA,1868,1871,"1,841","1,927"
Goday Naraen Gajapati Rao,NA,1866,1871,"1,828","1,903"
Charles Ratcliff,NA,1863,1871,"1,815","1,885"
James Rawson,NA,1867,1869,NA,NA
Charles Reade,NA,1865,1869,"1,814","1,884"
William Winwood Reade,NA,1863,1870,"1,838","1,875"
James Reddie,NA,1863,1866,NA,NA
Karl Bogislaus Reichert,NA,1863,1871,"1,811","1,883"
Ernest Renan,NA,1863,1871,"1,823","1,892"
Charles Jeremiah Renshaw,NA,1863,1871,"1,841","1,916"
M Ricardo,NA,1864,1866,"1,776","1,866"
Edward Jackson Riccard,NA,1867,1871,NA,"1,872"
x Richards,NA,1864,1869,NA,NA
Franklin Thomas Richards,NA,1864,1871,"1,847","1,905"
Charles Richardson,NA,1864,1871,"1,814","1,896"
James Coxon Richardson,NA,1865,1871,NA,"1,877"
Francis Ignatio Rickard,NA,1863,1871,"1,837","1,906"
George Thorne Ricketts,NA,1870,1871,"1,826","1,919"
H B Riddell,NA,1864,1866,NA,NA
Henry F Rivers,NA,1863,1869,"1,830","1,911"
John Robbins,NA,1866,1869,NA,NA
Charles Robert des Ruffieres,NA,1863,1871,NA,"1,883"
George E Roberts,NA,1863,1865,"1,831","1,865"
J Roberts,NA,1865,1867,NA,NA
Alexander Robertson,NA,1864,1868,NA,"1,906"
Alexander Robertson (2),NA,1867,1870,NA,NA
Charles Nice Robertson,NA,1865,1866,NA,NA
Daniel Brooke Robertson,NA,1864,1871,"1,810","1,881"
John Forbes Robertson,NA,1866,1866,NA,NA
Thomas Valentine Robins,NA,1866,1867,NA,NA
J Robinson,1,1865,1865,NA,NA
William Robinson,NA,1865,1871,NA,"1,880"
Sampson Roch,NA,1865,1871,"1,829","1,906"
"James, jun Rock",NA,1863,1867,NA,NA
Alfred S Rogers,NA,1863,1869,NA,NA
George Rogers,NA,1867,1871,"1,809","1,891"
Charles Alfred Rolph,NA,1863,1867,NA,NA
George Frederick Rolph,NA,1864,1868,NA,NA
Hyacinthe Ronay,NA,1865,1871,"1,814","1,889"
Charles Rooke,NA,1866,1869,"1,809","1,872"
James Anderson Rose,NA,1868,1871,"1,819","1,890"
Theodor A Rosenbusch,NA,1865,1868,NA,NA
John George Clunies Ross,NA,1863,1871,"1,823","1,871"
E J Routh,NA,1864,1866,"1,831","1,907"
Ankithum Venkata Nursing Row,NA,1870,1871,"1,827","1,892"
William Bridges Row,NA,1865,1870,NA,NA
Henry Rudall,NA,1865,1866,"1,793","1,868"
Thomas Rudd,NA,1865,1869,NA,NA
Sophus Ruge,NA,1868,1871,"1,831","1,903"
H  Hodgson Rugg,NA,1867,1871,"1,812","1,891"
Samuel Rule,NA,1867,1868,NA,"1,868"
John Ruskin,NA,1864,1871,"1,819","1,900"
A H Russell,NA,1863,1871,"1,837","1,916"
Charles E Russell,NA,1868,1871,NA,NA
James Russell,NA,1866,1866,NA,NA
Logan H  D Russell,NA,1870,1870,NA,NA
x Rutimeyer,NA,1863,1871,"1,825","1,895"
John Ryan,NA,1867,1869,NA,NA
Oluf Rygh,NA,1866,1871,"1,833","1,899"
Charles S Salmon,NA,1867,1869,NA,NA
William Salmon,NA,1865,1868,NA,NA
William Severin Salting,NA,1863,1871,"1,837","1,905"
James Sandale,NA,1865,1869,NA,NA
Alfred Sanders,NA,1864,1871,NA,NA
Alfred M Sanderson,NA,1863,1866,NA,NA
T J Sanderson,NA,1865,1865,NA,NA
W H Scattergood,NA,1866,1871,NA,NA
Hermann Schaaffhausen,NA,1863,1871,"1,816","1,893"
William Mason Scharlieb,NA,1867,1871,"1,829","1,891"
Carl Ritter von Scherzer,NA,1863,1871,"1,821","1,903"
E Schiemann,NA,1870,1871,NA,NA
Hermann de Schlagintweit,NA,1863,1867,"1,826","1,882"
A Schumann,NA,1867,1869,NA,NA
E S Schwabe,NA,1863,1868,NA,NA
Theodor Richard Schweitzer,NA,1868,1869,NA,NA
Charles Scott,NA,1866,1866,NA,NA
David Scott,NA,1867,1871,NA,NA
John (2) Scott,NA,1867,1871,"1,817","1,890"
Robert S Scott,NA,1863,1871,NA,NA
Wentworth Lascelles Scott,NA,1864,1867,NA,NA
J  Eglinton Seaman,NA,1865,1869,NA,NA
Berthold Seemann,NA,1863,1871,"1,825","1,871"
William Selwyn,NA,1864,1869,"1,806","1,875"
Hugh R Semper,NA,1866,1869,NA,NA
Lucy Ellen Sewall,NA,1868,1871,"1,837","1,890"
Henry Sewell,NA,1866,1869,NA,NA
George Seymour,NA,1865,1867,NA,NA
Henry Danby Seymour,NA,1865,1867,"1,820",NA
Peter Sharp,NA,1864,1871,NA,NA
Samuel Sharp,NA,1863,1866,"1,814","1,882"
W J Sharpe,NA,1864,1869,NA,NA
A  Mackintosh Shaw,NA,1864,1865,NA,NA
Frederick George Shaw,NA,1866,1871,NA,"1,918"
Robert Barkley Shaw,NA,1865,1869,"1,839","1,879"
Joseph Shepherd,NA,1865,1869,"1,812","1,887"
H  Brinsley Sheridan,NA,1864,1869,"1,820","1,906"
William Henry Sherwood,NA,1865,1871,NA,NA
William Shipp,NA,1866,1871,"1,807","1,873"
John Shortt,NA,1863,1871,"1,822","1,889"
Thomas R G Shute,NA,1864,1867,"1,802","1,881"
Ramon de Silva-Ferro,NA,1863,1871,"1,829","1,889"
Constantine Simonides,NA,1865,1867,NA,NA
S F Simonson,NA,1867,1871,NA,NA
Frank Simpson,NA,1865,1871,NA,NA
H V Simpson,NA,1867,1869,NA,NA
J  Marrion Sims,NA,1865,1865,"1,813","1,883"
R S Sisson,NA,1865,1866,NA,NA
James Henry Skene,NA,1864,1867,"1,812","1,886"
Frederick Mackenzie Skues,NA,1866,1871,"1,834","1,911"
William Mackenzie Skues,NA,1863,1871,NA,NA
Abell Smith,NA,1863,1867,NA,NA
Andrew Smith,NA,1864,1871,"1,797","1,872"
George (1) Smith,NA,1865,1871,"1,828","1,873"
George (2) Smith,NA,1865,1867,"1,840","1,876"
George Hill Smith,NA,1867,1869,"1,815","1,893"
George Whitely Smith,NA,1865,1867,NA,NA
John Smith,NA,1863,1871,NA,NA
Joseph J Smith,NA,1866,1866,NA,NA
Peter Smith,NA,1865,1866,NA,"1,866"
Protheroe Smith,NA,1863,1871,"1,809","1,889"
Tasker Smith,NA,1865,1869,NA,NA
Thomas Smith,NA,1863,1869,NA,NA
Thomas Eustace Smith,NA,1867,1871,"1,831","1,903"
Thomas James Smith,NA,1864,1871,"1,827","1,896"
William Smith,NA,1864,1866,NA,NA
William Nugent Smith,NA,1863,1869,NA,NA
Worthington George Smith,NA,1865,1871,"1,835","1,917"
Sydney James Smithers,NA,1868,1869,NA,NA
Brice Smyth,NA,1864,1871,"1,838","1,922"
James Smyth,NA,1866,1866,NA,NA
John E Smyth,NA,1867,1868,NA,NA
John jun Smyth,NA,1864,1864,NA,NA
Frederick Snaith,NA,1867,1869,NA,"1,869"
George Blagrove Snell,NA,1863,1867,NA,NA
William Parker Snow,NA,1863,1868,"1,817","1,895"
Samuel Solly,NA,1864,1866,"1,805","1,871"
Philip Southby,NA,1867,1871,"1,843","1,908"
James Bertram Sparhawk,NA,1868,1869,NA,NA
Henry King Spark,NA,1864,1871,"1,824","1,899"
Peter Spence,NA,1864,1866,"1,806","1,883"
W H Spence,NA,1865,1865,NA,NA
R J Spencer,NA,1867,1869,NA,NA
William Henry Spencer,NA,1863,1867,NA,NA
Edward Spooner,NA,1864,1869,"1,821","1,899"
T B Sprague,NA,1865,1871,"1,830","1,920"
Francis R Spry,NA,1864,1867,"1,834","1,913"
Flaxman Spurrell,NA,1867,1869,NA,NA
Ephraim George Squier,NA,1865,1871,"1,821","1,888"
George St Clair,NA,1863,1871,"1,836","1,908"
Spencer St John,NA,1863,1871,"1,825","1,910"
Edward Stamp,NA,1865,1871,"1,814","1,872"
William Edward Stanbridge,NA,1863,1871,"1,821","1,894"
John Stanley,NA,1865,1870,"1,827","1,903"
Thomas C Stanley,NA,1868,1869,NA,NA
John Stanton,NA,1865,1867,NA,NA
A B Stark,NA,1867,1869,NA,NA
Japetus Steenstrup,NA,1863,1871,"1,813","1,897"
Carl (Karl) Steinhauer,NA,1863,1871,"1,801","1,902"
Charles Stenning,NA,1863,1871,NA,NA
William Frederick Cowell Stepney,NA,1867,1871,"1,821","1,872"
Joseph Stevens,NA,1865,1869,NA,NA
John Stevenson,NA,1863,1865,"1,836","1,865"
A A Stewart,NA,1868,1869,NA,NA
W S Stewart,NA,1866,1867,NA,NA
John Stirling,NA,1866,1870,"1,828","1,870"
David Henry Stone,NA,1864,1871,"1,812","1,890"
Robert Sidney Stone,NA,1865,1869,"1,841",NA
William Storey,NA,1870,1871,NA,NA
William Story,NA,1865,1871,"1,816","1,882"
John Marmaduke Stourton,NA,1867,1871,"1,847","1,899"
John Strachan,NA,1863,1867,NA,NA
S Stratford,NA,1866,1871,NA,NA
James Strathern,NA,1868,1871,NA,NA
Andrew Struthers,NA,1868,1871,NA,NA
John William Studart,NA,1865,1871,NA,NA
Edward Sturman,NA,1863,1865,NA,NA
Peter Cormac Sutherland,NA,1867,1871,"1,822","1,900"
Cornelis Swaving,NA,1869,1871,"1,814","1,881"
Horace Swete,NA,1869,1871,"1,825",NA
Algernon Charles Swinburne,NA,1865,1871,"1,837","1,909"
David Sydenham,NA,1865,1867,NA,NA
J A Symonds,NA,1865,1869,"1,807","1,871"
William Samuel Symonds,NA,1864,1871,"1,818","1,887"
Francis Tagart,NA,1870,1871,NA,NA
G M Tagore,NA,1863,1864,"1,826","1,890"
Lawson Tait,NA,1868,1870,"1,845","1,899"
Alexander Norman Tate,NA,1864,1867,"1,837","1,892"
George Tate,NA,1863,1871,"1,805","1,871"
George Ralph Tate,NA,1865,1866,"1,835","1,874"
Ralph (1) Tate,NA,1865,1867,"1,840","1,901"
Thomas (1) Tate,NA,1863,1869,"1,807",NA
Thomas (2) Tate,NA,1866,1867,"1,807","1,888"
Thomas R Tatham,NA,1867,1870,NA,"1,870"
E B Tawney,NA,1865,1869,"1,840","1,882"
John Taylor,NA,1866,1869,"1,833","1,912"
John George Taylor,NA,1867,1871,NA,NA
Richard Stephens jnr Taylor,NA,1869,1870,"1,843","1,928"
W Taylor,NA,1864,1868,NA,NA
W E Taylor,NA,1863,1864,NA,NA
Edward Tenison Ryan Tenison,NA,1863,1871,NA,"1,904"
Frederick Theed,NA,1867,1867,"1,814","1,880"
"William, Jun Theobald",NA,1866,1871,"1,829","1,908"
Robert Thin,NA,1864,1867,"1,843","1,867"
Connop Thirlwall,NA,1864,1871,"1,797","1,875"
J L Thomas,NA,1867,1867,NA,NA
Alfred Robert Thompson,NA,1866,1869,NA,NA
Frederick Thompson,NA,1864,1871,NA,"1,885"
George C Thompson,NA,1866,1870,NA,NA
Joseph Thompson,NA,1864,1866,NA,NA
Christian JÃ¼rgensen Thomsen,NA,1863,1865,"1,788","1,865"
J  T Thresh,NA,1869,1871,NA,NA
John Thurnam,NA,1863,1870,"1,810","1,873"
Samuel Timmins,NA,1865,1871,"1,826","1,902"
E Tinsley,NA,1864,1866,NA,"1,866"
John Tolhurst,NA,1867,1871,NA,NA
Albert Tootal,NA,1867,1871,"1,838","1,893"
John Towers,NA,1866,1866,NA,NA
Frederick Travers,NA,1863,1871,"1,808","1,876"
S  Smith Travers,NA,1864,1865,"1,826","1,888"
William Travers,NA,1863,1869,"1,838",NA
Arthur Trevelyan,NA,1863,1871,NA,"1,880"
Edward Andrew Trevor,NA,1865,1868,"1,839","1,886"
Nicolas Trubner,NA,1863,1871,"1,817","1,884"
Gregory Tschurowsky,NA,1868,1871,"1,804","1,884"
Charles jun Tuckett,NA,1864,1871,NA,"1,875"
Arthur Chilver Tupper,NA,1865,1867,"1,816","1,876"
James Turle,NA,1864,1864,"1,832","1,905"
William F J Turner,NA,1867,1869,"1,831","1,894"
Arthur Turrell,NA,1868,1869,"1,846","1,898"
H K Twyford,NA,1865,1868,NA,NA
Carl Wilhelm Ferdinand Uhde,NA,1863,1871,"1,813","1,885"
John Underwood,NA,1865,1871,NA,NA
x University Library,NA,1866,1871,NA,NA
Herbert Taylor Ussher,NA,1865,1869,"1,836","1,880"
Arthur Vacher,NA,1865,1865,NA,NA
J J C Valpy,NA,1863,1863,"1,828",NA
Armenius Vambery,NA,1867,1871,"1,832","1,913"
William Sandys Wright Vaux,NA,1863,1871,"1,818","1,885"
Gonzalez Velasco,NA,1865,1871,"1,815","1,882"
George Venables Vernon,NA,1863,1871,NA,"1,878"
Paul Vibraye,NA,1863,1871,"1,809","1,878"
Henry Vignaud,NA,1865,1871,"1,830","1,922"
Edouard J Villin,NA,1866,1869,"1,832","1,922"
Rudolph Virchow,NA,1868,1871,"1,821","1,902"
Julio Vizcarrondi,NA,1867,1871,NA,NA
Carl Vogt,NA,1863,1871,"1,817","1,895"
Thomas Francis Wade,NA,1865,1871,"1,818","1,895"
Rudolph Wagner,NA,1863,1864,"1,805","1,864"
Theodore Waitz,NA,1863,1864,"1,821","1,864"
Alfred Wake,NA,1870,1870,NA,NA
E T Wakefield,1,1865,1868,NA,NA
Cornelius Walford,NA,1866,1871,"1,827","1,885"
Alexander Walker,NA,1866,1869,"1,824",NA
Alexander Macnamee Walker,NA,1867,1869,NA,NA
Charles Pyndar Beauchamp Walker,NA,1865,1871,"1,817","1,894"
Edmund Walker,NA,1865,1867,NA,NA
George Walker,NA,1867,1868,NA,NA
Robert Walker,NA,1863,1869,"1,823","1,894"
Joshua Walmsley,NA,1867,1871,"1,819",NA
H C Walton,NA,1865,1867,"1,841","1,872"
J W Walton,NA,1863,1867,"1,818","1,867"
Rienzi G Walton,NA,1865,1867,"1,842","1,900"
James Alfred Wanklyn,NA,1865,1869,"1,834","1,906"
Charles Augustus Ward,NA,1863,1864,NA,NA
Charles Warden,NA,1867,1870,NA,NA
J  William Warden,NA,1865,1869,NA,NA
James J Waring,NA,1867,1871,NA,NA
Richard Archer Warwick,NA,1863,1866,NA,NA
Buchanan Washbourn,NA,1863,1869,NA,NA
Ottiwell Charles Waterfield,NA,1864,1871,"1,831","1,898"
John Waterhouse,NA,1866,1866,NA,NA
Samuel Watson,NA,1863,1871,NA,NA
Robert Watt,NA,1869,1871,NA,NA
John King Watts,NA,1863,1865,"1,808","1,884"
Stephen Webb,NA,1867,1869,NA,NA
T W Webb,NA,1867,1871,NA,NA
Henry Webster,NA,1866,1867,NA,NA
Augustin Weisbach,NA,1869,1871,"1,837","1,914"
Hermann Welcker,NA,1863,1871,"1,822","1,897"
Francis Alex (Frank) Wenham,NA,1867,1867,NA,NA
William Henry Wesley,NA,1865,1868,"1,841","1,922"
Hodder Michael Westropp,NA,1863,1871,"1,820","1,885"
Champion Wetton,NA,1865,1867,NA,NA
J R Wevill,NA,1866,1869,NA,NA
William Whitear,NA,1863,1864,"1,807","1,891"
John B Whitehead,NA,1863,1868,NA,NA
Peter O Whitehead,NA,1863,1869,"1,835",NA
Thomas K Whitehead,NA,1863,1868,NA,NA
Henry Whitfeld,NA,1865,1866,NA,NA
Henry William Wickes,NA,1863,1869,NA,NA
Thomas Haines Wickes,NA,1864,1869,"1,840","1,899"
x Wienecke,NA,1863,1871,NA,NA
Augustus S Wilkins,NA,1863,1864,"1,843","1,905"
Thomas Wilkinson,NA,1866,1869,NA,NA
William Martin Wilkinson,NA,1865,1869,"1,814","1,897"
Charles R Williams,NA,1866,1869,NA,NA
Eric Williams,NA,1863,1869,NA,NA
Frederick Martin Williams,NA,1867,1871,"1,830","1,878"
George Williams,NA,1866,1868,NA,NA
Henry Williams,NA,1870,1871,NA,NA
Henry G Williams,NA,1867,1869,NA,NA
John (1) Williams,NA,1867,1871,NA,NA
John Wilkins Williams,NA,1867,1871,NA,NA
S W D Williams,NA,1865,1866,NA,NA
Thomas Williams,NA,1864,1865,"1,818","1,865"
Matthew Willis,NA,1867,1869,"1,828","1,871"
J E  Eardley Wilmot,NA,1866,1869,"1,810","1,892"
Alfred Henry Wilson,NA,1866,1871,NA,NA
Andrew Wilson,NA,1865,1869,NA,NA
Daniel Wilson,NA,1863,1871,"1,816","1,892"
Frank Wilson,NA,1866,1871,NA,NA
J  Spotswood Wilson,NA,1863,1871,NA,NA
James Wilson,1,1865,1865,NA,NA
John Leigh Wilson,NA,1867,1869,"1,837","1,886"
R Wilson,NA,1865,1869,NA,NA
William Wilson,1,1865,1866,"1,785","1,868"
William Newton Wilson,NA,1864,1867,NA,NA
Alfred Wiltshire,NA,1868,1871,"1,839","1,886"
William Smith Windham,NA,1866,1871,NA,NA
Alfred Tubb Windus,NA,1864,1869,NA,NA
Benjamin Robert Winthrop,NA,1868,1871,"1,804","1,879"
Thomas Alexander Wise,NA,1866,1871,"1,801","1,889"
George Witt,NA,1863,1866,"1,804","1,869"
von Wittich,NA,1864,1866,"1,826","1,897"
James Wodderspoon,NA,1869,1871,NA,NA
Francis George Cornelius Wolber,NA,1868,1871,NA,NA
George Wollaston,NA,1864,1865,NA,NA
Edward Wood,NA,1866,1871,"1,810","1,892"
F  Henry Wood,NA,1863,1867,"1,812","1,886"
J W Wood,NA,1868,1869,NA,NA
John George Wood,NA,1868,1871,NA,NA
Robert Wood,NA,1865,1870,NA,"1,877"
William Spicer Wood,1,1863,1871,NA,"1,902"
Charles H L Woodd,NA,1863,1870,NA,"1,893"
Robert Carr Woods,NA,1863,1871,"1,816","1,875"
Jens Jacob Asmussen Worsaae,NA,1863,1871,"1,821","1,885"
William Wray,NA,1870,1871,"1,830","1,871"
Frank Wrentmore,NA,1865,1869,NA,NA
Robert Wright,NA,1870,1870,NA,NA
Thomas Wright,NA,1863,1871,"1,810","1,877"
William Cort Wright,NA,1863,1865,NA,NA
Otto Wucherer,NA,1867,1869,"1,820","1,873"
Andrew Wyley,NA,1866,1867,NA,NA
Jeffries Wyman,NA,1867,1871,"1,814","1,874"
Stephen Yeldham,NA,1866,1869,"1,810","1,896"
James A Youl,NA,1864,1865,"1,811","1,904"
Robert Younge,NA,1865,1871,"1,801","1,874"
Arthur de Zeltner,NA,1866,1871,NA,NA
x Zohrab,NA,1867,1871,NA,NA
H R Adam,NA,1870,1871,NA,NA
William (2) Adams,NA,1858,1871,"1,820","1,900"
Louis Agassiz,NA,1860,1871,"1,807","1,873"
Alexander Muirhead Aitken,NA,1864,1871,NA,NA
William Amhurst Tyssen Amhurst,NA,1862,1871,"1,835","1,909"
x Antrim,NA,1871,1871,"1,851","1,918"
William Appleyard,NA,1854,1871,NA,NA
William Arbuthnot,NA,1868,1871,NA,NA
William Armitage,NA,1864,1871,"1,815","1,903"
William Armstrong,NA,1865,1871,"1,810","1,900"
Richard Arnold,NA,1866,1871,"1,808","1,876"
William Arthur,NA,1865,1870,"1,819","1,901"
Charles Frederick Ash,NA,1864,1871,NA,NA
William Henry Ashurst,NA,1863,1871,"1,819","1,879"
Charles Atkins,NA,1868,1871,NA,NA
George Atkinson,NA,1869,1871,NA,NA
Charles Cardale Babington,NA,1864,1871,"1,808","1,895"
Edward Backhouse,1,1870,1871,"1,808","1,879"
Carl Ernst von Baer,NA,1861,1871,"1,792","1,876"
Walter ('Badgett') Bagehot,NA,1865,1871,"1,826","1,877"
James Bain,NA,1865,1871,"1,818","1,898"
John Baker,NA,1861,1871,"1,813","1,872"
Samuel C Baker,NA,1866,1871,"1,821","1,893"
William Bailey Baker,NA,1858,1871,"1,828","1,865"
George Balfour,NA,1865,1871,"1,809","1,894"
John  Wheeldon Barnes,NA,1870,1871,"1,825","1,893"
William Roby Barr,NA,1863,1871,"1,832",NA
Thomas Squire Barrett,NA,1865,1871,NA,NA
George William Barrington,NA,1865,1871,"1,824","1,886"
William Edward Bartlett,NA,1864,1871,"1,836","1,908"
John Stothert Bartrum,NA,1865,1871,"1,817","1,904"
William Battye,NA,1867,1871,NA,NA
Hermann Beigel,NA,1865,1871,"1,830","1,879"
William Abraham Bell,NA,1869,1871,"1,841","1,921"
Edward Bellamy,NA,1865,1871,"1,837","1,889"
Henry Walter Bellew,NA,1870,1871,"1,834","1,892"
Thomas Bendyshe,NA,1863,1871,"1,827","1,886"
Charles Bennett,NA,1867,1871,NA,NA
George Bertram,NA,1864,1871,NA,NA
John Bilderbeck,NA,1866,1871,NA,NA
James Bischoff,NA,1865,1871,NA,NA
Andrew Black,NA,1870,1871,"1,851","1,916"
William Blackmore,NA,1866,1871,"1,827","1,878"
Henry Jules Blanc,NA,1866,1871,NA,NA
