"Source","Target"
Arthur de Zeltner,ESL
Arthur William A Beckett,ASL
Andrew Mercer Adam,ASL
H R Adam,ASL
Henry John Adams,ASL
William Adlam,ASL
Louis Agassiz,ASL
Anastasius Agathides,ASL
Joseph Agnew,ASL
William Baird Airston,ASL
Thomas Aitken,ASL
Frederick W Aley,ASL
J  McGrigor Allan,ASL
S  Stafford Allen,ASL
George Allin,ASL
Charles Hamond Alpe,ASL
Crewe Alston,ASL
George Amner,ASL
Edward C Anderson,ASL
John Anderson,ASL
Joseph Anderson,ASL
William Arbuthnot,ASL
Richard Edward Arden,ASL
Alexander Aria,ASL
William Armitage,ASL
T  B Armitstead,ASL
Edward Arnold,ASL
Richard Arnold,ASL
William Arthur,ASL
Rodolph Arundell,ASL
Isidore Ascher,ASL
Charles Frederick Ash,ASL
James Ashbury,ASL
John Ashbury,ASL
William Aspull,ASL
John Atcherley,ASL
Charles Atkins,ASL
George Atkinson,ASL
Alfred Aubert,ASL
Charles Cardale Babington,ASL
William Babington,ASL
Carl Ernst von Baer,ASL
Charles Henry Bagnall,ASL
Charles Stuart Bailey,ASL
John Bailey (2),ASL
James Bain,ASL
Benson Baker,ASL
J P Baker,ASL
Henry Barber,ASL
Robert Baring,ASL
Henry Walter Barlow,ASL
Christopher J Barnard,ASL
Henry Thorowgood Barnes,ASL
Joseph Henry Barr,ASL
William Roby Barr,ASL
Thomas Squire Barrett,ASL
George William Barrington,ASL
C M Barter,ASL
William Edward Bartlett,ASL
Alfred Barton,ASL
Ernest Bates,ASL
William Battye,ASL
Edwin Henry Baverstock,ASL
James Bainbridge Baxter,ASL
Samuel Beal,ASL
John S Beale,ASL
Amos Beardsley,ASL
Hugh J C Beavan,ASL
R C Beavan,ASL
Alfred Becquet,ASL
Hermann Beigel,ASL
C W  Bowdler Bell,ASL
Edward Bellamy,ASL
Henry Walter Bellew,ASL
William Painter Belliss,ASL
D Bellock,ASL
Adolph Bendir,ASL
Thomas Bendyshe,ASL
Charles Bennett,ASL
John Bennett,ASL
Thomas John Wesley Bennett,ASL
W F G Benson,ASL
William Ralph Benson,ASL
George Bertram,ASL
Camille Bertrand,ASL
x Best,ASL
John Henry Biddles,ASL
John Bilderbeck,ASL
Theodor Bilharz,ASL
Henry Corles Bingham,ASL
James Bischoff,ASL
Andrew Black,ASL
Alan Cornwall Blackstone,ASL
T A Blakely,ASL
Henry Jules Blanc,ASL
Sydney L Blanchard,ASL
Albert Taylor Bledsoe,ASL
David Blellock,ASL
John Hillier Blount,ASL
Frederick Edmund Blyth,ASL
Henry S Boase,ASL
Anatoly Petrovich Bogdanoff,ASL
Edward B Bogg,ASL
Charles W Bollaert,ASL
William Bollaert,ASL
Charles Radcliffe Bond,ASL
Walter M Bond,ASL
W C Bonnerjee,ASL
T  George Bonney,ASL
Evert Julius Bonsdorff,ASL
James Bonsor,ASL
James Bonwick,ASL
Charles Booth,ASL
W W Boreham,ASL
Cunningham Borthwick,ASL
Joseph Bosworth,ASL
x Boucher de Crevecoeur de Perthes,ASL
x Boudin,ASL
George Boulton,ASL
Brasseur de Bourbourg,ASL
Sydney Edward Bouverie Bouverie-Pusey,ASL
Thomas William Bowman,ASL
William Henry Wentworth Bowyer,ASL
William Binnington Boyce,ASL
Jacob Boys,ASL
Edward William Brabrook,ASL
Frederick Braby,ASL
Antonio Brady,ASL
P A Brady,ASL
George M Braggiotti,ASL
Charles Brainsford,ASL
Thomas Brankstone,ASL
Frank William Breach,ASL
A C Brebner,ASL
James Brebner,ASL
Charles Brett,ASL
J S Brickwood,ASL
John Brinton,ASL
Bernard Edward Brodhurst,ASL
David Brodie,ASL
