"Name","birth_year","death_year"
Conrad Eckhard,1822,1905
Casper W Eddy,NA,NA
Thomas Edmonston,NA,NA
J  Passmore Edwards,1823,1911
John Edwards,NA,NA
William Edwards-Schneegans,NA,NA
Charles William Eeles,NA,NA
Francis Egerton,1800,1857
George Granville Francis Egerton,1823,1862
x Egypt,1822,1863
John Elder,1824,1869
x Eliot,NA,NA
John Ellerton,1840,1923
Walter Elliot,1803,1887
J H Elliott,NA,NA
C H  Fairfax Ellis,NA,NA
James Ellis,NA,NA
Jonathan W Elmes,NA,NA
John Elphinstone,NA,1854
Mountstuart Elphinstone,1779,1859
Joel Emanuel,NA,NA
Jacob Epstein,NA,NA
John E Erichsen,1818,1896
Victor Erlanger,1840,1894
William Erle,1793,1880
Adolf Ernst,1832,1899
Kennedy Erskine,1828,1870
x Euclide,NA,NA
William Euing,1788,1874
Edward Bickerton Evans,1819,1893
John Evans,1823,1908
Richard Tonson Evanson,1800,1871
William Ewart,1798,1869
Arthur B Ewen,1838,NA
Edward John Eyre,1815,1901
William Fairbairn,1789,1874
R W Fairbank,1839,1890
Edmund Farmer,NA,NA
x Farquharson,NA,NA
Adam Storey Farrar,1826,1905
J G Faught,NA,NA
Adolphe Duchart Fauvet,NA,NA
Frederick Fearon,1826,NA
W S Featherstone,NA,NA
Alexis Fedschenko,1844,1873
George Edgeworth Fenwick,1825,1894
William Ferguson,1820,1887
John Fergusson,NA,NA
Leopold Ferny,NA,NA
Alexander Fiddes,NA,1870
Edwin Foxton Firby,NA,NA
Frederick Firebrace,NA,1917
James Firm,NA,NA
James (1) Fischer,1832,1873
Robert Fischer,NA,1911
Edward Gardiner Fishbourne,NA,NA
Anthony Lax Fisher,NA,NA
Morton Coates Fisher,NA,NA
Robert Fitzroy,1805,1865
F H Fitzwilliam,NA,NA
William S Fitzwilliam,NA,NA
George Fleming,1833,1901
James William Fleming,NA,NA
John B Fletcher,NA,NA
Joseph Fletcher,NA,1852
Alphonse de Fleuriot de Langle,1809,1881
Walter Flight,1841,1885
John Wickham Flower,1807,1873
John Folhurst,NA,NA
George Folsom,1802,1869
David Forbes,1828,1876
Duncan W Forbes,NA,NA
W Forester,NA,NA
Joseph James Forrester,NA,NA
Richard Fort,1822,1868
G A Forteath,1819,1862
Balthazar Walter Foster,1840,1913
M Foster,1836,1907
Robert Nicholas Fowler,1828,1891
William Fowler,NA,NA
Charles Henry Fox,NA,NA
William Henry Francklyne,NA,NA
Augustus Wollaston Franks,1826,1897
Alexander Adolphus Fraser,NA,NA
Alexander Colvin Fraser,NA,NA
Thomas Fraser,1808,1891
Henry Stanhope Freeman,1831,1865
x Freme,NA,NA
Sydney French,NA,NA
H  Albert Freuler,NA,NA
William Freund,1806,1894
John Friend,NA,NA
Anton Fritsch,1832,1913
Danby Palmer Fry,1818,1903
Stephen D Fuller,1839,1912
A  de Fullner,NA,NA
Michael Cudmore Furnell,1829,1888
Albert Fytche,1820,1892
Paolo Gaddi,1806,NA
Richard M Gage,NA,NA
Griffin Curtis Galt,NA,NA
Douglas Galton,1822,1899
Francis Galton,1822,1911
Antonio Garbiglietti,1807,1887
Felix Garden,NA,NA
John Gardiner,1814,1868
C T Gardner,NA,NA
Charles Henry Gardner,NA,1872
E V Gardner,NA,NA
Peter Gardner,NA,1872
William H Garrett,NA,NA
Thomas B Gascoyne,NA,NA
John Peter Gassiot,1797,1877
Charles Henry Gatty,1836,1903
J Gaus,NA,NA
x Gawler,1795,1869
David Gay,1826,NA
Alex  Nidda Genthe,NA,1870
x Georgei,NA,NA
Paul Gervais,1816,1879
George Duncan Gibb,1821,1876
Craig Gibson,1813,1874
George Stacey Gibson,1818,1883
Enrico Hillyer Giglioli,1845,1909
Joseph Gill,NA,NA
William Gillespie,NA,1875
Andrew Gilmour,NA,1910
x Giraldes,1808,1875
James William Glass,1825,1857
x Glasse,NA,NA
Spyridon Glaucopides,NA,NA
Albert Gledstanes,NA,NA
J  S  Stuart Glennie,1841,1910
John Hawley Glover,1829,1885
George Grenfell Glyn,1824,1887
Edwin Goadby,1837,NA
x Gobineau,1816,1882
William Goddard,1839,1907
Thomas Godrich,NA,NA
Augustus Goldsmid,1818,1874
Isaac Lyon Goldsmid,1778,1859
Thomas Gole,NA,NA
Thomas Gooch,NA,NA
William Gooch,NA,NA
Charles Rowland Goodman,NA,NA
Arthur Gordon Gordon,NA,NA
Richard Thomas Gore,1799,1881
A L  (pere) Gosse,1791,1873
Hippolyte-Jean Gosse,1834,1901
John Gould,1804,1881
Charles Edward Gover,1835,1872
James Gowans,1821,1890
D G Goyder,1796,1878
x Granville,1833,1900
Pierre Gratiolet,1815,1865
John Grattan,NA,NA
Ryves William Graves,NA,1882
John Grayling,NA,NA
Frederick Green,NA,NA
Frederick King Green,1842,1915
George Courthope Green,NA,1875
Sidney Faithhorn Green,1841,1916
George Bellas Greenough,1778,1855
Henry Greenway,NA,NA
William Greenwell,1820,1918
Edward Greey,1835,1888
William Rathbone Greg,1809,1881
Alexander Gregg,1819,1893
Walter Gregor,1825,1897
J R Gregory,NA,NA
Charles Edward Grey,1785,1865
George Grey,1812,1898
Henry Rowland Ellison Grey,1834,1909
x Gribble,1807,1878
H G Gridley,1820,NA
Frederick Griffin,1813,1885
Lepel Griffin,1838,1908
John Griffith,NA,NA
Richard Trygarn Griffith,1788,1866
Francis Griffiths,NA,NA
J C Griffiths,NA,NA
Richard Clewin Griffiths,NA,NA
James Oliff Griffits,1821,NA
John Grover,NA,NA
Charles Groves,1793,1866
Joseph Tatton Russell Groves,NA,NA
Augustus Guest,NA,NA
William Vernon Guise,1816,1887
John Gunn,1801,1890
Henry Francis Jeune Guppy,NA,NA
Samuel Guppy,1790,1875
John Henry Gurney,1819,1890
Alexander Guthrie,1796,1865
James Guthrie,NA,1900
Johann Franz ('Julius') Haast,1822,1887
Johann Georg Hahn,NA,NA
William Hall,NA,NA
Henry Hallam,1777,1859
Ernst Hallier,1831,1904
Alexander C Hamilton,NA,NA
Archibald Hamilton,1818,1880
Rowland Hamilton,NA,NA
C D Hammond,NA,NA
William Alexander Hammond,1828,1900
Henry Fletcher Hance,1827,1886
H J B Hancock,NA,NA
James Ronaldson Handyside,1798,1873
Richard Davis Hanson,1805,1876
Edward B Harbour,NA,1865
Clarence Harcourt,NA,1909
Charles Harding,NA,NA
William Harding,1809,1890
William Hardman,1828,1890
Charles J Harland,NA,NA
Henry Harland,NA,NA
C E Harle,NA,NA
Thomas Harlin,1832,1913
J A W Harper,NA,NA
Samuel Harraden,NA,NA
F W Harrer,NA,NA
Arthur B Harris,NA,NA
James Penn Harris,1817,1892
William Cornwallis Harris,1807,1848
Charles (1) Harrison,NA,NA
William G S Harrison,NA,NA
William Henry Harrison,1840,1897
Alfred Edmund Harriss,NA,NA
Ernest Abraham Hart,1835,1898
John Harvey,NA,NA
John E Harvey,NA,1879
Frederick Augustus Haserick,1828,1902
James Hastie,1848,1897
John Hastings,NA,NA
Richard Haughton,1782,1867
Samuel Foster Haven,1806,1881
George Hawkins,NA,NA
Walter Hawkins,NA,NA
John Hay,NA,NA
W E Hay,NA,NA
Ferdinand Vandeveer Hayden,1829,1887
Thomas Hayle,1808,1886
R W Haynes,NA,NA
William Stephens Hayward,1835,1870
Edward Charles Healey,1845,1906
Dunbar Isidore Heath,1816,1888
G J D Heath,NA,1880
John Heaton,1818,1897
Alexander Hector,1810,1875
Peter Christian Heldman,1808,1866
W G Helsby,1828,1891
Alexander Henderson,1804,NA
David Mitchell Henderson,NA,NA
P Henderson,NA,NA
Robert Henderson,1811,1871
Alfred Gutteres Henriques,1829,1908
Joseph Henry,1797,1878
M H Henry,NA,NA
James Hepburn,1811,1869
Robert Hepburn,NA,NA
John Mason Hepworth,NA,NA
Henry A Hertz,NA,NA
Maximilian Herz,1837,1890
Matthew Heslop,NA,NA
T P Heslop,NA,NA
B Hewitt,NA,NA
Jonas B Hewitt,NA,NA
Alfred Hewlett,1831,1918
James Heywood,1810,1897
James Higgin,NA,NA
Alfred Higgins,NA,NA
x Hildebrand,1838,1925
Arthur Hill,NA,NA
Dallas Hill,NA,NA
George Hill,NA,NA
L  Doake Hill,NA,NA
R  Harvey Hilliard,NA,NA
J Hillier,NA,NA
x Hincks,1794,1871
Benjamin Hinde,NA,NA
Frederick Hindmarsh,NA,1875
George T Hine,NA,NA
August Hirsch,1817,1894
Wilhelm His,1831,1904
x Hitchman,1805,1867
W Hitchman,1817,1889
W G E Hobbs,NA,NA
F H Hobler,NA,NA
von Hochstetter,1829,1884
Thomas Hodge,NA,NA
Thomas (1) Hodgkin,1798,1866
Brian Houghton Hodgson,1801,1894
Kirkman Daniel Hodgson,1814,1879
"x Hoeven, Van der",1801,1868
Carl Alphonse Hoffman,NA,NA
J W Holgate,NA,NA
Jennings Holgate,NA,NA
James Holland,NA,NA
Robert Hollond,1808,1877
x Holmberg,1818,1864
H N Holme,NA,NA
William Holmes,NA,NA
H  le Hon,1809,1872
T H Hood,NA,NA
Joseph Hooker,1817,1911
Frederick William Hope,1797,1862
James Hope,NA,NA
John Baker Hopkins,1830,1888
W J S Horton,NA,NA
John Camden Hotten,1832,1873
Henry Hotze,1833,1887
x Houghton,1809,1885
Alfred Robert Houghton,NA,NA
Edward Price Houghton,NA,NA
Frederick Hovenden,1838,1911
Alfred How,NA,NA
C F Howard,NA,NA
W T Howard,NA,NA
H W Howarth,NA,NA
Oswald Bloomfield Howell,NA,NA
Henry Hoyle Howorth,1842,1923
Charles William Hoyland,1808,1889
F Hudson,NA,NA
Henry Hudson,NA,1889
Robinson Hudson,NA,1867
Richard Hughes,1836,1902
T A Hughes,NA,NA
Thomas McKenny Hughes,1832,1917
Hamilton J Hulcee,NA,NA
Thomas Humble,NA,1878
"Alexander Humboldt, Von",1769,1859
Augustus H Hunt,1849,NA
George S  Lennon Hunt,NA,NA
James Hunt,1833,1869
John (1) Hunt,NA,NA
John (2) Hunt,NA,1879
William Wilson Hunter,1840,1900
Frank J Husband,NA,NA
H A Husband,NA,NA
G A Hutchinson,NA,NA
Jonathan Hutchinson,1828,1913
Thomas Henry Huxley,1825,1895
Josef Hyrtl,1810,1894
Walter Hyslop,NA,NA
William Imrie,1836,1906
Joseph Ince,1826,1907
Robert Ingham,1793,1875
John Inglis,1808,1891
Robert M Inman,NA,NA
A Ioannides,NA,NA
Arthur Constantine Ionides,1810,1890
J  Clayfield Ireland,NA,NA
Alexander Isbester,1822,1883
x Isenburg,NA,NA
George James Ivey,NA,NA
Frederick R Izard,NA,NA
Henry (the father) Jackson,1806,1866
Henry (the son) Jackson,1839,1921
Henry Willan Jackson,1842,1914
Henry William (1) Jackson,NA,NA
J  Hughlings Jackson,1835,1911
J W Jackson,NA,1872
Le Grand Jacob,1805,1881
x Jagor,1816,1900
George Alexander James,NA,1868
Horatio Gay James,NA,NA
F H Janson,NA,NA
William Jardine,1800,1874
John Jarratt,NA,NA
John Moore Jeffcott,1816,1892
Frederick John Jeffery,NA,NA
William S Jeffery,NA,NA
Edmund Jeffries,NA,NA
Charles Jellicoe,1804,1882
Newton Edward Jennings,1840,1901
William Jennings,1847,1927
Leonard Jenyns LATER Blomefield,1800,1893
William Jepson,NA,NA
C Jervise,NA,NA
Henry Edward Jessop,NA,NA
Augustus Jessopp,1823,1914
George Curling Joad,1837,1881
