"Source","Target","first_year","last_year","birth_year","death_year"
J Middleton,ASL,1864,1864,NA,NA
John M  (or H ) Middleton,ASL,1864,1864,NA,NA
Louis Remy Mignot,ASL,1866,1870,"1,831","1,870"
Franciscus Miklosich,ASL,1863,1871,"1,813","1,891"
John Mill,ASL,1864,1867,NA,NA
John Miller,ASL,1867,1871,NA,NA
Joseph Milligan,ASL,1863,1871,"1,807","1,884"
Henry F Mills,ASL,1866,1871,NA,NA
J M C Mills,ASL,1865,1871,NA,NA
A Milne,ASL,1865,1865,NA,NA
Thomas Milne,ASL,1869,1869,NA,NA
Henri Milne-Edwards,ASL,1863,1871,"1,800","1,885"
W R Milner,ASL,1863,1868,NA,"1,868"
x Milton,ASL,1864,1871,"1,839","1,877"
B G Miraglia,ASL,1868,1871,"1,814","1,885"
J B Mirrlees,ASL,1864,1866,NA,NA
Arthur Mitchell,ASL,1865,1871,"1,826","1,909"
William Henry Mitchell,ASL,1864,1867,NA,NA
William Stephen Mitchell,ASL,1864,1867,NA,NA
Rajendralala Mitra,ASL,1868,1871,"1,823","1,891"
St George J Mivart,ASL,1864,1869,NA,NA
C  Poorooshottum Modeliar,ASL,1864,1867,NA,NA
Robert G Moger,ASL,1867,1869,NA,NA
Alexander Moir,ASL,1869,1869,NA,NA
J  Macrae Moir,ASL,1869,1869,"1,825","1,881"
Jakob Moleschott,ASL,1864,1871,"1,822","1,893"
Frederick William Monk,ASL,1864,1867,NA,NA
William Monk,ASL,1864,1871,NA,NA
Frederick Butler Montgomerie,ASL,1864,1871,"1,833",NA
x Moon,ASL,1864,1866,NA,NA
George Moore,ASL,1864,1871,"1,803","1,880"
Henry Reginald Moore,ASL,1865,1871,NA,NA
J  Daniel Moore,ASL,1863,1866,NA,NA
James H Moore,ASL,1865,1869,NA,NA
John (1) Moore,ASL,1864,1871,NA,"1,882"
John (2) Moore,ASL,1866,1871,NA,NA
Robert Waters Moore,ASL,1866,1871,"1,819","1,884"
William Gosling Moore,ASL,1868,1871,NA,NA
Modeliar P S Mootoosaumy,ASL,1866,1869,NA,NA
Fortescue John Morgan,ASL,1863,1871,NA,NA
John Morgan,ASL,1870,1871,NA,NA
Thomas H Morgan,ASL,1868,1870,NA,NA
William Henry Morgan,ASL,1866,1871,NA,NA
Thomas B Moriarty,ASL,1865,1871,NA,NA
James Cotter Morison,ASL,1863,1871,"1,832","1,888"
Charles Adolphe Morlot,ASL,1863,1867,"1,820","1,867"
David Morris,ASL,1863,1871,NA,NA
H C  Grove Morris,ASL,1866,1869,NA,NA
J P Morris,ASL,1864,1869,NA,NA
James Holmes Morrison,ASL,1869,1871,"1,842","1,917"
Richard James ('Zadkiel') Morrison,ASL,1867,1871,"1,795","1,874"
Edward John Morshead,ASL,1864,1867,"1,839","1,902"
John Mortimer,ASL,1864,1871,NA,"1,871"
John Robert Mortimer,ASL,1870,1871,"1,825","1,911"
Joseph Mosheimer,ASL,1864,1867,NA,NA
Svend Mosling,ASL,1866,1871,NA,NA
Thomas Moss,ASL,1865,1866,NA,NA
C B Mosse,ASL,1866,1870,NA,NA
George Mott,ASL,1866,1871,"1,831","1,906"
Joseph Mould,ASL,1864,1866,NA,NA
Walter Moxon,ASL,1868,1868,NA,NA
Henry Muirhead,ASL,1867,1871,"1,814","1,890"
August Muller,ASL,1864,1866,"1,848","1,892"
Ferdinand Muller,ASL,1864,1864,"1,825","1,896"
Friedrich Max Muller,ASL,1865,1871,"1,823","1,900"
Richard Mullins,ASL,1868,1869,NA,NA
Edward W Murphy,ASL,1863,1866,"1,802","1,877"
Edward Murray,ASL,1868,1868,NA,NA
J C Murray,ASL,1867,1871,NA,NA
John (1) Murray,ASL,1865,1868,NA,NA
John (2) Murray,ASL,1865,1869,NA,NA
John George Musgrave,ASL,1864,1866,NA,NA
Dadabhai Naoroji,ASL,1864,1867,"1,825","1,917"
Charles Ottley Groom Napier,ASL,1865,1871,"1,839","1,894"
D W Nash,ASL,1865,1865,"1,809","1,876"
Robert Lucas Nash,ASL,1868,1871,"1,818","1,871"
Samuel Nash,ASL,1870,1871,NA,NA
F B  Bernard Natusch,ASL,1865,1871,NA,NA
George Nesbitt,ASL,1863,1869,NA,NA
J R Neville,ASL,1865,1865,NA,NA
Literary and Philosophical Society of Newcastle,ASL,1866,1866,NA,NA
William Newmarch,ASL,1864,1867,NA,NA
P H Newnham,ASL,1864,1871,NA,NA
Alfred Vincent Newton,ASL,1865,1871,NA,NA
Henry William Newton,ASL,1863,1869,NA,NA
Robert S Newton,ASL,1868,1871,NA,NA
Thomas Nicholas,ASL,1866,1869,NA,NA
G  Jasper Nicholls,ASL,1864,1871,NA,NA
Charles Nicholson,ASL,1863,1865,"1,808","1,903"
John Peede Segrave Carington Nicholson,ASL,1864,1866,NA,NA
Giustiniano Nicolucci,ASL,1864,1871,"1,819","1,904"
Sven Nilsson,ASL,1865,1871,"1,787","1,883"
Roden Noel,ASL,1864,1870,"1,834","1,894"
John Spencer Noldwritt,ASL,1864,1868,NA,NA
Karl Friedrich Nordmann,ASL,1868,1871,"1,830",NA
Henry Norsworthy,ASL,1867,1871,NA,NA
George North,ASL,1863,1867,NA,NA
Samuel William North,ASL,1863,1871,NA,NA
Josiah Clark Nott,ASL,1863,1871,"1,804","1,873"
John Nottingham,ASL,1867,1871,"1,810","1,895"
Richard Maddock Nunn,ASL,1865,1871,NA,"1,876"
Charles O'Callaghan,ASL,1866,1871,NA,"1,875"
Luke Smyth O'Connor,ASL,1864,1871,"1,806","1,873"
J L O'Sullivan,ASL,1864,1869,"1,813","1,895"
G H Ogston,ASL,1864,1871,NA,NA
Samuel Pasfield Oliver,ASL,1868,1869,"1,838","1,907"
William M Ord,ASL,1865,1869,"1,834","1,902"
John Benn Ormathwaite,ASL,1864,1871,"1,798","1,881"
John William Willoughby Osborne,ASL,1864,1871,"1,833","1,881"
Thomas F Overman,ASL,1865,1866,NA,NA
H  Burnard Owen,ASL,1863,1867,NA,NA
John Fletcher Owen,ASL,1868,1871,"1,839","1,924"
Richard Owen,ASL,1863,1871,"1,804","1,892"
Robert Brisco Owen,ASL,1863,1871,"1,799","1,883"
Samuel R J Owen,ASL,1864,1871,NA,NA
J D V Packman,ASL,1863,1866,"1,813","1,885"
Henry James Paine,ASL,1867,1869,NA,NA
William Paley,ASL,1867,1869,"1,824","1,899"
Silas Palmer,ASL,1863,1871,"1,815","1,875"
Louis Philippe d'Orleans Paris,ASL,1865,1866,"1,838","1,894"
Matthew Paris,ASL,1865,1866,NA,NA
J W Parker,ASL,1863,1870,"1,792","1,870"
Walter Mantell Parker,ASL,1870,1871,NA,NA
John Parnell,ASL,1864,1869,NA,NA
J  Charlton Parr,ASL,1868,1871,NA,NA
King John Parr,ASL,1871,1871,NA,NA
Dashwood G Parry,ASL,1863,1867,NA,NA
A W Parsons,ASL,1865,1866,NA,NA
T E Partridge,ASL,1865,1870,NA,NA
Theodore D'Orville Partridge,ASL,1867,1871,NA,"1,897"
Alexander Paspati,ASL,1867,1871,"1,814","1,891"
George K H Paterson,ASL,1865,1868,NA,NA
Robert Paterson,ASL,1867,1867,"1,814","1,889"
B H Paul,ASL,1865,1867,NA,NA
R W Payne,ASL,1866,1871,NA,NA
Edward Peacock,ASL,1864,1871,"1,831","1,915"
Thomas Bevill Peacock,ASL,1863,1871,"1,812","1,882"
George Peacocke,ASL,1865,1869,"1,829","1,871"
Charles Thomas Pearce,ASL,1867,1869,"1,815","1,883"
Frederick Edward Pearse,ASL,1865,1871,"1,833","1,900"
Alfred Henry Pechell,ASL,1866,1871,"1,827","1,885"
J M Peebles,ASL,1869,1869,NA,NA
Robert Peel,ASL,1866,1871,"1,838","1,894"
John Peiser,ASL,1863,1871,"1,801","1,886"
W S Pendon,ASL,1866,1866,NA,NA
William Peppe,ASL,1869,1871,NA,"1,937"
William Perkins,ASL,1866,1871,NA,NA
James Perrin,ASL,1866,1871,"1,801","1,888"
John Beswick Perrin,ASL,1864,1865,NA,"1,887"
Augustus E G Perrot,ASL,1867,1869,"1,857","1,880"
S G F Perry,ASL,1865,1868,NA,NA
Augustus Heinrich Petermann,ASL,1868,1871,"1,822","1,878"
Horace William Petherick,ASL,1863,1871,"1,839","1,919"
George Petrie,ASL,1865,1871,"1,818","1,875"
Barnet Phillips,ASL,1866,1869,"1,827","1,905"
Philip Phoebus,ASL,1863,1867,"1,804","1,880"
Edward Pick,ASL,1863,1864,NA,NA
Francois Jules Pictet,ASL,1863,1871,"1,809","1,872"
George William Septimus Piesse,ASL,1864,1865,"1,820","1,882"
Luke Owen Pike,ASL,1863,1869,"1,835","1,915"
Bedford Pim,ASL,1864,1871,"1,826","1,886"
Thomas Ryan Pinchis,ASL,1868,1869,"1,825","1,869"
W Pinkerton,ASL,1863,1871,"1,809","1,871"
James Pinnock,ASL,1866,1867,NA,NA
John Plant,ASL,1866,1869,NA,NA
John Platts,ASL,1869,1871,"1,830","1,904"
Charles Plummer,ASL,1864,1869,"1,831",NA
Fenwick T Poole,ASL,1866,1866,NA,NA
John Daniel Poole,ASL,1866,1867,NA,NA
Matthew Conway Poole,ASL,1871,1871,"1,841","1,885"
Reginald Stuart Poole,ASL,1863,1867,"1,832","1,895"
R Pope,ASL,1869,1870,NA,"1,870"
R B Porter,ASL,1867,1869,NA,NA
George Pouchet,ASL,1863,1871,"1,833","1,894"
Emil Arnold Praeger,ASL,1866,1867,"1,817",NA
Henry Pratt,ASL,1866,1867,NA,NA
Charles Sharp Price,ASL,1870,1871,NA,NA
Frederick George Hilton Price,ASL,1868,1871,"1,842","1,909"
Thomas Prichard,ASL,1865,1871,NA,"1,878"
Henry jun Prigg,ASL,1863,1871,NA,NA
George Pringle,ASL,1866,1869,NA,NA
Thomas junr Pritchard,ASL,1866,1869,"1,826","1,874"
William T Pritchard,ASL,1864,1865,"1,829","1,907"
James C Proctor,ASL,1867,1867,NA,NA
Hyde Pullen,ASL,1863,1871,NA,NA
H Purdon,ASL,1866,1867,NA,NA
H S Purdon,ASL,1866,1868,"1,843","1,906"
Bernard Quaritch,ASL,1865,1871,"1,819","1,899"
William Quin,ASL,1866,1871,"1,817","1,871"
John Radcliffe,ASL,1864,1869,NA,NA
James Rae,ASL,1864,1871,NA,"1,891"
Antonio Raimondi,ASL,1866,1871,"1,826","1,890"
"A , jun Ramsay",ASL,1863,1871,NA,NA
Frank Ramsay,ASL,1868,1871,"1,821","1,884"
William Francis Ramsay,ASL,1867,1871,NA,NA
Jabez Spence Ramskill,ASL,1865,1871,"1,825","1,897"
G C Rankin,ASL,1864,1866,NA,NA
Edwin Ransom,ASL,1868,1871,"1,841","1,927"
Goday Naraen Gajapati Rao,ASL,1866,1871,"1,828","1,903"
Charles Ratcliff,ASL,1863,1871,"1,815","1,885"
James Rawson,ASL,1867,1869,NA,NA
Charles Reade,ASL,1865,1869,"1,814","1,884"
William Winwood Reade,ASL,1863,1870,"1,838","1,875"
James Reddie,ASL,1863,1866,NA,NA
Karl Bogislaus Reichert,ASL,1863,1871,"1,811","1,883"
Ernest Renan,ASL,1863,1871,"1,823","1,892"
Charles Jeremiah Renshaw,ASL,1863,1871,"1,841","1,916"
M Ricardo,ASL,1864,1866,"1,776","1,866"
Edward Jackson Riccard,ASL,1867,1871,NA,"1,872"
x Richards,ASL,1864,1869,NA,NA
Franklin Thomas Richards,ASL,1864,1871,"1,847","1,905"
Charles Richardson,ASL,1864,1871,"1,814","1,896"
James Coxon Richardson,ASL,1865,1871,NA,"1,877"
Francis Ignatio Rickard,ASL,1863,1871,"1,837","1,906"
George Thorne Ricketts,ASL,1870,1871,"1,826","1,919"
H B Riddell,ASL,1864,1866,NA,NA
Henry F Rivers,ASL,1863,1869,"1,830","1,911"
John Robbins,ASL,1866,1869,NA,NA
Charles Robert des Ruffieres,ASL,1863,1871,NA,"1,883"
George E Roberts,ASL,1863,1865,"1,831","1,865"
J Roberts,ASL,1865,1867,NA,NA
Alexander Robertson,ASL,1864,1868,NA,"1,906"
Alexander Robertson (2),ASL,1867,1870,NA,NA
Charles Nice Robertson,ASL,1865,1866,NA,NA
Daniel Brooke Robertson,ASL,1864,1871,"1,810","1,881"
John Forbes Robertson,ASL,1866,1866,NA,NA
Thomas Valentine Robins,ASL,1866,1867,NA,NA
J Robinson,ASL,1865,1865,NA,NA
William Robinson,ASL,1865,1871,NA,"1,880"
Sampson Roch,ASL,1865,1871,"1,829","1,906"
"James, jun Rock",ASL,1863,1867,NA,NA
Alfred S Rogers,ASL,1863,1869,NA,NA
George Rogers,ASL,1867,1871,"1,809","1,891"
Charles Alfred Rolph,ASL,1863,1867,NA,NA
George Frederick Rolph,ASL,1864,1868,NA,NA
Hyacinthe Ronay,ASL,1865,1871,"1,814","1,889"
Charles Rooke,ASL,1866,1869,"1,809","1,872"
James Anderson Rose,ASL,1868,1871,"1,819","1,890"
Theodor A Rosenbusch,ASL,1865,1868,NA,NA
John George Clunies Ross,ASL,1863,1871,"1,823","1,871"
E J Routh,ASL,1864,1866,"1,831","1,907"
Ankithum Venkata Nursing Row,ASL,1870,1871,"1,827","1,892"
William Bridges Row,ASL,1865,1870,NA,NA
Henry Rudall,ASL,1865,1866,"1,793","1,868"
Thomas Rudd,ASL,1865,1869,NA,NA
Sophus Ruge,ASL,1868,1871,"1,831","1,903"
H  Hodgson Rugg,ASL,1867,1871,"1,812","1,891"
Samuel Rule,ASL,1867,1868,NA,"1,868"
John Ruskin,ASL,1864,1871,"1,819","1,900"
A H Russell,ASL,1863,1871,"1,837","1,916"
Charles E Russell,ASL,1868,1871,NA,NA
James Russell,ASL,1866,1866,NA,NA
Logan H  D Russell,ASL,1870,1870,NA,NA
x Rutimeyer,ASL,1863,1871,"1,825","1,895"
John Ryan,ASL,1867,1869,NA,NA
Oluf Rygh,ASL,1866,1871,"1,833","1,899"
Charles S Salmon,ASL,1867,1869,NA,NA
William Salmon,ASL,1865,1868,NA,NA
William Severin Salting,ASL,1863,1871,"1,837","1,905"
James Sandale,ASL,1865,1869,NA,NA
Alfred Sanders,ASL,1864,1871,NA,NA
Alfred M Sanderson,ASL,1863,1866,NA,NA
T J Sanderson,ASL,1865,1865,NA,NA
W H Scattergood,ASL,1866,1871,NA,NA
Hermann Schaaffhausen,ASL,1863,1871,"1,816","1,893"
William Mason Scharlieb,ASL,1867,1871,"1,829","1,891"
Carl Ritter von Scherzer,ASL,1863,1871,"1,821","1,903"
E Schiemann,ASL,1870,1871,NA,NA
Hermann de Schlagintweit,ASL,1863,1867,"1,826","1,882"
A Schumann,ASL,1867,1869,NA,NA
E S Schwabe,ASL,1863,1868,NA,NA
Theodor Richard Schweitzer,ASL,1868,1869,NA,NA
Charles Scott,ASL,1866,1866,NA,NA
David Scott,ASL,1867,1871,NA,NA
John (2) Scott,ASL,1867,1871,"1,817","1,890"
Robert S Scott,ASL,1863,1871,NA,NA
Wentworth Lascelles Scott,ASL,1864,1867,NA,NA
J  Eglinton Seaman,ASL,1865,1869,NA,NA
Berthold Seemann,ASL,1863,1871,"1,825","1,871"
William Selwyn,ASL,1864,1869,"1,806","1,875"
Hugh R Semper,ASL,1866,1869,NA,NA
Lucy Ellen Sewall,ASL,1868,1871,"1,837","1,890"
Henry Sewell,ASL,1866,1869,NA,NA
George Seymour,ASL,1865,1867,NA,NA
Henry Danby Seymour,ASL,1865,1867,"1,820",NA
Peter Sharp,ASL,1864,1871,NA,NA
Samuel Sharp,ASL,1863,1866,"1,814","1,882"
W J Sharpe,ASL,1864,1869,NA,NA
A  Mackintosh Shaw,ASL,1864,1865,NA,NA
Frederick George Shaw,ASL,1866,1871,NA,"1,918"
Robert Barkley Shaw,ASL,1865,1869,"1,839","1,879"
Joseph Shepherd,ASL,1865,1869,"1,812","1,887"
H  Brinsley Sheridan,ASL,1864,1869,"1,820","1,906"
William Henry Sherwood,ASL,1865,1871,NA,NA
William Shipp,ASL,1866,1871,"1,807","1,873"
John Shortt,ASL,1863,1871,"1,822","1,889"
Thomas R G Shute,ASL,1864,1867,"1,802","1,881"
Ramon de Silva-Ferro,ASL,1863,1871,"1,829","1,889"
Constantine Simonides,ASL,1865,1867,NA,NA
S F Simonson,ASL,1867,1871,NA,NA
Frank Simpson,ASL,1865,1871,NA,NA
H V Simpson,ASL,1867,1869,NA,NA
J  Marrion Sims,ASL,1865,1865,"1,813","1,883"
R S Sisson,ASL,1865,1866,NA,NA
James Henry Skene,ASL,1864,1867,"1,812","1,886"
Frederick Mackenzie Skues,ASL,1866,1871,"1,834","1,911"
William Mackenzie Skues,ASL,1863,1871,NA,NA
Abell Smith,ASL,1863,1867,NA,NA
Andrew Smith,ASL,1864,1871,"1,797","1,872"
George (1) Smith,ASL,1865,1871,"1,828","1,873"
George (2) Smith,ASL,1865,1867,"1,840","1,876"
George Hill Smith,ASL,1867,1869,"1,815","1,893"
George Whitely Smith,ASL,1865,1867,NA,NA
John Smith,ASL,1863,1871,NA,NA
Joseph J Smith,ASL,1866,1866,NA,NA
Peter Smith,ASL,1865,1866,NA,"1,866"
Protheroe Smith,ASL,1863,1871,"1,809","1,889"
Tasker Smith,ASL,1865,1869,NA,NA
Thomas Smith,ASL,1863,1869,NA,NA
Thomas Eustace Smith,ASL,1867,1871,"1,831","1,903"
Thomas James Smith,ASL,1864,1871,"1,827","1,896"
William Smith,ASL,1864,1866,NA,NA
William Nugent Smith,ASL,1863,1869,NA,NA
Worthington George Smith,ASL,1865,1871,"1,835","1,917"
Sydney James Smithers,ASL,1868,1869,NA,NA
Brice Smyth,ASL,1864,1871,"1,838","1,922"
James Smyth,ASL,1866,1866,NA,NA
John E Smyth,ASL,1867,1868,NA,NA
John jun Smyth,ASL,1864,1864,NA,NA
Frederick Snaith,ASL,1867,1869,NA,"1,869"
George Blagrove Snell,ASL,1863,1867,NA,NA
William Parker Snow,ASL,1863,1868,"1,817","1,895"
Samuel Solly,ASL,1864,1866,"1,805","1,871"
Philip Southby,ASL,1867,1871,"1,843","1,908"
James Bertram Sparhawk,ASL,1868,1869,NA,NA
Henry King Spark,ASL,1864,1871,"1,824","1,899"
Peter Spence,ASL,1864,1866,"1,806","1,883"
W H Spence,ASL,1865,1865,NA,NA
R J Spencer,ASL,1867,1869,NA,NA
William Henry Spencer,ASL,1863,1867,NA,NA
Edward Spooner,ASL,1864,1869,"1,821","1,899"
T B Sprague,ASL,1865,1871,"1,830","1,920"
Francis R Spry,ASL,1864,1867,"1,834","1,913"
Flaxman Spurrell,ASL,1867,1869,NA,NA
Ephraim George Squier,ASL,1865,1871,"1,821","1,888"
George St Clair,ASL,1863,1871,"1,836","1,908"
Spencer St John,ASL,1863,1871,"1,825","1,910"
Edward Stamp,ASL,1865,1871,"1,814","1,872"
William Edward Stanbridge,ASL,1863,1871,"1,821","1,894"
John Stanley,ASL,1865,1870,"1,827","1,903"
Thomas C Stanley,ASL,1868,1869,NA,NA
John Stanton,ASL,1865,1867,NA,NA
A B Stark,ASL,1867,1869,NA,NA
Japetus Steenstrup,ASL,1863,1871,"1,813","1,897"
Carl (Karl) Steinhauer,ASL,1863,1871,"1,801","1,902"
Charles Stenning,ASL,1863,1871,NA,NA
William Frederick Cowell Stepney,ASL,1867,1871,"1,821","1,872"
Joseph Stevens,ASL,1865,1869,NA,NA
John Stevenson,ASL,1863,1865,"1,836","1,865"
A A Stewart,ASL,1868,1869,NA,NA
W S Stewart,ASL,1866,1867,NA,NA
John Stirling,ASL,1866,1870,"1,828","1,870"
David Henry Stone,ASL,1864,1871,"1,812","1,890"
Robert Sidney Stone,ASL,1865,1869,"1,841",NA
William Storey,ASL,1870,1871,NA,NA
William Story,ASL,1865,1871,"1,816","1,882"
John Marmaduke Stourton,ASL,1867,1871,"1,847","1,899"
John Strachan,ASL,1863,1867,NA,NA
S Stratford,ASL,1866,1871,NA,NA
James Strathern,ASL,1868,1871,NA,NA
Andrew Struthers,ASL,1868,1871,NA,NA
John William Studart,ASL,1865,1871,NA,NA
Edward Sturman,ASL,1863,1865,NA,NA
Peter Cormac Sutherland,ASL,1867,1871,"1,822","1,900"
Cornelis Swaving,ASL,1869,1871,"1,814","1,881"
Horace Swete,ASL,1869,1871,"1,825",NA
Algernon Charles Swinburne,ASL,1865,1871,"1,837","1,909"
David Sydenham,ASL,1865,1867,NA,NA
J A Symonds,ASL,1865,1869,"1,807","1,871"
William Samuel Symonds,ASL,1864,1871,"1,818","1,887"
Francis Tagart,ASL,1870,1871,NA,NA
G M Tagore,ASL,1863,1864,"1,826","1,890"
Lawson Tait,ASL,1868,1870,"1,845","1,899"
Alexander Norman Tate,ASL,1864,1867,"1,837","1,892"
George Tate,ASL,1863,1871,"1,805","1,871"
George Ralph Tate,ASL,1865,1866,"1,835","1,874"
Ralph (1) Tate,ASL,1865,1867,"1,840","1,901"
Thomas (1) Tate,ASL,1863,1869,"1,807",NA
Thomas (2) Tate,ASL,1866,1867,"1,807","1,888"
Thomas R Tatham,ASL,1867,1870,NA,"1,870"
E B Tawney,ASL,1865,1869,"1,840","1,882"
John Taylor,ASL,1866,1869,"1,833","1,912"
John George Taylor,ASL,1867,1871,NA,NA
Richard Stephens jnr Taylor,ASL,1869,1870,"1,843","1,928"
W Taylor,ASL,1864,1868,NA,NA
W E Taylor,ASL,1863,1864,NA,NA
Edward Tenison Ryan Tenison,ASL,1863,1871,NA,"1,904"
Frederick Theed,ASL,1867,1867,"1,814","1,880"
"William, Jun Theobald",ASL,1866,1871,"1,829","1,908"
Robert Thin,ASL,1864,1867,"1,843","1,867"
Connop Thirlwall,ASL,1864,1871,"1,797","1,875"
J L Thomas,ASL,1867,1867,NA,NA
Alfred Robert Thompson,ASL,1866,1869,NA,NA
Frederick Thompson,ASL,1864,1871,NA,"1,885"
George C Thompson,ASL,1866,1870,NA,NA
Joseph Thompson,ASL,1864,1866,NA,NA
Christian JÃ¼rgensen Thomsen,ASL,1863,1865,"1,788","1,865"
J  T Thresh,ASL,1869,1871,NA,NA
John Thurnam,ASL,1863,1870,"1,810","1,873"
Samuel Timmins,ASL,1865,1871,"1,826","1,902"
E Tinsley,ASL,1864,1866,NA,"1,866"
John Tolhurst,ASL,1867,1871,NA,NA
Albert Tootal,ASL,1867,1871,"1,838","1,893"
John Towers,ASL,1866,1866,NA,NA
Frederick Travers,ASL,1863,1871,"1,808","1,876"
S  Smith Travers,ASL,1864,1865,"1,826","1,888"
William Travers,ASL,1863,1869,"1,838",NA
Arthur Trevelyan,ASL,1863,1871,NA,"1,880"
Edward Andrew Trevor,ASL,1865,1868,"1,839","1,886"
Nicolas Trubner,ASL,1863,1871,"1,817","1,884"
Gregory Tschurowsky,ASL,1868,1871,"1,804","1,884"
Charles jun Tuckett,ASL,1864,1871,NA,"1,875"
Arthur Chilver Tupper,ASL,1865,1867,"1,816","1,876"
James Turle,ASL,1864,1864,"1,832","1,905"
William F J Turner,ASL,1867,1869,"1,831","1,894"
Arthur Turrell,ASL,1868,1869,"1,846","1,898"
H K Twyford,ASL,1865,1868,NA,NA
Carl Wilhelm Ferdinand Uhde,ASL,1863,1871,"1,813","1,885"
John Underwood,ASL,1865,1871,NA,NA
x University Library,ASL,1866,1871,NA,NA
Herbert Taylor Ussher,ASL,1865,1869,"1,836","1,880"
Arthur Vacher,ASL,1865,1865,NA,NA
J J C Valpy,ASL,1863,1863,"1,828",NA
Armenius Vambery,ASL,1867,1871,"1,832","1,913"
William Sandys Wright Vaux,ASL,1863,1871,"1,818","1,885"
Gonzalez Velasco,ASL,1865,1871,"1,815","1,882"
George Venables Vernon,ASL,1863,1871,NA,"1,878"
Paul Vibraye,ASL,1863,1871,"1,809","1,878"
Henry Vignaud,ASL,1865,1871,"1,830","1,922"
Edouard J Villin,ASL,1866,1869,"1,832","1,922"
Rudolph Virchow,ASL,1868,1871,"1,821","1,902"
Julio Vizcarrondi,ASL,1867,1871,NA,NA
Carl Vogt,ASL,1863,1871,"1,817","1,895"
Thomas Francis Wade,ASL,1865,1871,"1,818","1,895"
Rudolph Wagner,ASL,1863,1864,"1,805","1,864"
Theodore Waitz,ASL,1863,1864,"1,821","1,864"
Alfred Wake,ASL,1870,1870,NA,NA
E T Wakefield,ASL,1865,1868,NA,NA
Cornelius Walford,ASL,1866,1871,"1,827","1,885"
Alexander Walker,ASL,1866,1869,"1,824",NA
Alexander Macnamee Walker,ASL,1867,1869,NA,NA
Charles Pyndar Beauchamp Walker,ASL,1865,1871,"1,817","1,894"
Edmund Walker,ASL,1865,1867,NA,NA
George Walker,ASL,1867,1868,NA,NA
Robert Walker,ASL,1863,1869,"1,823","1,894"
Joshua Walmsley,ASL,1867,1871,"1,819",NA
H C Walton,ASL,1865,1867,"1,841","1,872"
J W Walton,ASL,1863,1867,"1,818","1,867"
Rienzi G Walton,ASL,1865,1867,"1,842","1,900"
James Alfred Wanklyn,ASL,1865,1869,"1,834","1,906"
Charles Augustus Ward,ASL,1863,1864,NA,NA
Charles Warden,ASL,1867,1870,NA,NA
J  William Warden,ASL,1865,1869,NA,NA
James J Waring,ASL,1867,1871,NA,NA
Richard Archer Warwick,ASL,1863,1866,NA,NA
Buchanan Washbourn,ASL,1863,1869,NA,NA
Ottiwell Charles Waterfield,ASL,1864,1871,"1,831","1,898"
John Waterhouse,ASL,1866,1866,NA,NA
Samuel Watson,ASL,1863,1871,NA,NA
Robert Watt,ASL,1869,1871,NA,NA
John King Watts,ASL,1863,1865,"1,808","1,884"
Stephen Webb,ASL,1867,1869,NA,NA
T W Webb,ASL,1867,1871,NA,NA
Henry Webster,ASL,1866,1867,NA,NA
Augustin Weisbach,ASL,1869,1871,"1,837","1,914"
Hermann Welcker,ASL,1863,1871,"1,822","1,897"
Francis Alex (Frank) Wenham,ASL,1867,1867,NA,NA
William Henry Wesley,ASL,1865,1868,"1,841","1,922"
Hodder Michael Westropp,ASL,1863,1871,"1,820","1,885"
Champion Wetton,ASL,1865,1867,NA,NA
J R Wevill,ASL,1866,1869,NA,NA
William Whitear,ASL,1863,1864,"1,807","1,891"
John B Whitehead,ASL,1863,1868,NA,NA
Peter O Whitehead,ASL,1863,1869,"1,835",NA
Thomas K Whitehead,ASL,1863,1868,NA,NA
Henry Whitfeld,ASL,1865,1866,NA,NA
Henry William Wickes,ASL,1863,1869,NA,NA
Thomas Haines Wickes,ASL,1864,1869,"1,840","1,899"
x Wienecke,ASL,1863,1871,NA,NA
Augustus S Wilkins,ASL,1863,1864,"1,843","1,905"
Thomas Wilkinson,ASL,1866,1869,NA,NA
William Martin Wilkinson,ASL,1865,1869,"1,814","1,897"
Charles R Williams,ASL,1866,1869,NA,NA
Eric Williams,ASL,1863,1869,NA,NA
Frederick Martin Williams,ASL,1867,1871,"1,830","1,878"
George Williams,ASL,1866,1868,NA,NA
Henry Williams,ASL,1870,1871,NA,NA
Henry G Williams,ASL,1867,1869,NA,NA
John (1) Williams,ASL,1867,1871,NA,NA
John Wilkins Williams,ASL,1867,1871,NA,NA
S W D Williams,ASL,1865,1866,NA,NA
Thomas Williams,ASL,1864,1865,"1,818","1,865"
Matthew Willis,ASL,1867,1869,"1,828","1,871"
J E  Eardley Wilmot,ASL,1866,1869,"1,810","1,892"
Alfred Henry Wilson,ASL,1866,1871,NA,NA
Andrew Wilson,ASL,1865,1869,NA,NA
Daniel Wilson,ASL,1863,1871,"1,816","1,892"
Frank Wilson,ASL,1866,1871,NA,NA
J  Spotswood Wilson,ASL,1863,1871,NA,NA
James Wilson,ASL,1865,1865,NA,NA
John Leigh Wilson,ASL,1867,1869,"1,837","1,886"
R Wilson,ASL,1865,1869,NA,NA
William Wilson,ASL,1865,1866,"1,785","1,868"
William Newton Wilson,ASL,1864,1867,NA,NA
Alfred Wiltshire,ASL,1868,1871,"1,839","1,886"
William Smith Windham,ASL,1866,1871,NA,NA
