"Source","Target","first_year","last_year","birth_year","death_year"
Francis Lloyd,ESL,1844,1850,NA,NA
William Horton Lloyd,ESL,1844,1847,NA,NA
William Lockhart,ESL,1861,1871,"1,811","1,896"
Abraham Logan,ESL,1863,1871,"1,816","1,873"
J R Logan,ESL,1848,1869,"1,819","1,869"
x Londesborough,ESL,1854,1857,"1,834","1,900"
William Long,ESL,1869,1871,"1,817","1,886"
Horatio Love,ESL,1850,1871,NA,"1,882"
x Lovewell,ESL,1845,1845,NA,NA
John Lubbock,ESL,1863,1871,"1,834","1,913"
Johann Constantin August Lucae,ESL,1861,1871,"1,835","1,911"
J W Lukis,ESL,1870,1871,"1,816","1,894"
John Gray Macfarlane,ESL,1865,1871,NA,NA
G Macgowan,ESL,1861,1871,NA,NA
K Mackenzie,ESL,1856,1856,NA,NA
Samuel Joseph Mackie,ESL,1861,1864,"1,823","1,902"
Lauchlan Mackinnon,ESL,1862,1862,"1,817","1,888"
Daniel Mackintosh,ESL,1861,1868,"1,815","1,891"
J Mackrell,ESL,1850,1862,NA,NA
Samuel Maclean,ESL,1854,1856,"1,818","1,864"
George Macleay,ESL,1869,1869,"1,809","1,891"
Andrew Maclure,ESL,1866,1871,"1,813","1,886"
Charles James Major,ESL,1844,1844,NA,NA
Charles Malcolm,ESL,1844,1851,"1,782","1,851"
William Elphinstone Malcolm,ESL,1844,1871,"1,817","1,907"
Alfred Mallalieu,ESL,1844,1844,NA,NA
Robert James Mann,ESL,1866,1871,"1,817","1,886"
Clements Robert Markham,ESL,1864,1871,"1,830","1,916"
Matthew Henry Marsh,ESL,1862,1871,"1,810","1,881"
Peter Marshall,ESL,1844,1844,NA,NA
William Marshall,ESL,1866,1867,"1,796","1,872"
Edward Martin,ESL,1844,1844,NA,NA
Richard Biddulph Martin,ESL,1868,1871,"1,838","1,916"
Thomas Martin,ESL,1844,1844,NA,NA
James Wood Mason,ESL,1869,1871,"1,846","1,893"
Edward V Maur,ESL,1861,1861,"1,804","1,885"
Alfred Maury,ESL,1861,1871,"1,817","1,892"
George Maw,ESL,1865,1868,"1,832","1,912"
Peter Benson Maxwell,ESL,1867,1871,"1,817","1,893"
Thomas May,ESL,1844,1844,NA,NA
Joseph Mayer,ESL,1854,1871,"1,803","1,886"
William Frederick Mayers,ESL,1864,1871,"1,831","1,878"
John S Mayson,ESL,1856,1864,"1,825",NA
James McClelland,ESL,1854,1870,"1,799","1,879"
John Ferguson McLennan,ESL,1870,1871,"1,827","1,881"
John Frederick McNair,ESL,1866,1871,"1,828","1,910"
H McNicholl,ESL,1854,1854,NA,NA
Thomas Taylor Meadows,ESL,1854,1868,"1,815","1,868"
James Aitken Meigs,ESL,1861,1871,"1,829","1,879"
Edward Meryon,ESL,1844,1844,NA,NA
Samuel Rush Meyrick,ESL,1843,1843,"1,783","1,848"
William Augustus Miles,ESL,1851,1871,NA,NA
Joseph Milligan,ESL,1861,1871,"1,807","1,884"
Henri Milne-Edwards,ESL,1853,1871,"1,800","1,885"
x Milton,ESL,1864,1871,"1,839","1,877"
Albert Mitchell,ESL,1868,1871,NA,NA
Alexander (1) Mitchell,ESL,1858,1871,"1,831","1,873"
Matthew Moggridge,ESL,1869,1871,"1,803","1,882"
J Monro,ESL,1854,1854,NA,NA
Patrick Montgomery,ESL,1864,1867,NA,NA
Robert Mortimer Montgomery,ESL,1863,1868,NA,NA
John Moody,ESL,1868,1871,NA,NA
Joseph Moore,ESL,1844,1856,NA,"1,856"
Alexander Morison,ESL,1844,1855,"1,779","1,866"
Edward Morris,ESL,1869,1869,NA,NA
Edward Rowley Morris,ESL,1870,1871,"1,828","1,893"
Eugene Morris,ESL,1869,1871,NA,NA
John Morris,ESL,1869,1871,"1,823","1,905"
Richard Morris,ESL,1869,1869,NA,NA
Walter Morrison,ESL,1870,1871,"1,836","1,921"
J Muir,ESL,1865,1869,"1,810","1,882"
Friedrich Max Muller,ESL,1865,1871,"1,823","1,900"
Johan Muller,ESL,1853,1858,"1,801","1,858"
x Munro,ESL,1843,1857,NA,NA
Francis Kerridge Munton,ESL,1870,1871,NA,NA
Roderick Impey Murchison,ESL,1860,1871,"1,792","1,871"
John Murray,ESL,1861,1870,"1,808","1,892"
G N Mussabini,ESL,1851,1851,NA,NA
N G Mussabini,ESL,1844,1844,NA,NA
Dadabhai Naoroji,ESL,1866,1867,"1,825","1,917"
William Napier,ESL,1861,1871,"1,804","1,879"
William Donald Napier,ESL,1863,1868,NA,NA
Davyd William Nash,ESL,1848,1871,"1,810","1,876"
Robert Lucas Nash,ESL,1870,1871,"1,818","1,871"
Alexander Nasmyth,ESL,1844,1846,"1,789","1,849"
Dominico Navoni,ESL,1844,1844,NA,NA
J  Dormer Neale,ESL,1868,1871,NA,"1,884"
Francis G P Neison,ESL,1844,1853,NA,NA
William Neison,ESL,1845,1852,NA,NA
