"id","family_name","first_names","id:1","society"
519,D'Omalius d'Halloy,Jean Baptiste Julien,11,Geological Society
519,D'Omalius d'Halloy,Jean Baptiste Julien,99,Belgian Academy of Sciences of France
524,Dall,G P,2,Royal College of Surgeons
525,Dally,Eugene,12,Anthropological Society of Paris
525,Dally,Eugene,100,Soci̩t̩ M̩dico Psychologique
529,Daniell,William Freeman,8,Royal Geographical Society
531,Darbishire,Robert Dukinfield,11,Geological Society
531,Darbishire,Robert Dukinfield,9,Society of Antiquaries
533,Dareste,Camille,12,Anthropological Society of Paris
536,Darwin,Charles,21,Royal Society
536,Darwin,Charles,11,Geological Society
536,Darwin,Charles,16,Linnean Society of London
541,Davey,John George,21,Royal Society
541,Davey,John George,13,Medico Psychological Association
545,Davies,Jesse Conway,2,Royal College of Surgeons
545,Davies,Jesse Conway,27,Royal College of Physicians
546,Davies,William,2,Royal College of Surgeons
554,Dawkins,William Boyd,11,Geological Society
554,Dawkins,William Boyd,21,Royal Society
554,Dawkins,William Boyd,7,Somersetshire Archaeological and Natural History Society
555,Dawson,George,11,Geological Society
561,Dendy,Walter Cooper,5,Medical Society of London
561,Dendy,Walter Cooper,103,"Academy of Surgery, Madrid"
566,Derby (formerly Stanley),x,21,Royal Society
566,Derby (formerly Stanley),x,8,Royal Geographical Society
566,Derby (formerly Stanley),x,26,Royal Asiatic Society
566,Derby (formerly Stanley),x,14,"Society for the Encouragement of Arts, Manufactures and Commerce"
568,Desnoyers,Jules,11,Geological Society
568,Desnoyers,Jules,98,Institute of France
569,Devis,Charles William,34,Zoological Society
570,Devonshire,x,105,Royal Agricultural Society
572,Dibley,George,14,"Society for the Encouragement of Arts, Manufactures and Commerce"
573,Dickinson,John jun,21,Royal Society
574,Dickinson,John Jun,21,Royal Society
574,Dickinson,John Jun,8,Royal Geographical Society
577,Dickson,Peter,14,"Society for the Encouragement of Arts, Manufactures and Commerce"
577,Dickson,Peter,8,Royal Geographical Society
581,Dilke,Charles Wentworth,14,"Society for the Encouragement of Arts, Manufactures and Commerce"
591,Donovan,Cornelius,107,London School of Phrenology
594,Down,John Langdon H,27,Royal College of Physicians
594,Down,John Langdon H,6,Medical and Chirurgical Society of London
607,Drummond,John,8,Royal Geographical Society
608,Du Chaillu,Paul Belloni,8,Royal Geographical Society
609,Du Val,C A,108,Manchester Literary and Philosophical Society
613,Duckworth,Henry,8,Royal Geographical Society
613,Duckworth,Henry,11,Geological Society
613,Duckworth,Henry,109,Liverpool Literary and Philosophical Society of Liverpool
615,Duckworth,William,14,"Society for the Encouragement of Arts, Manufactures and Commerce"
616,Dudgeon,R E,34,Zoological Society
617,Dudley,Reginald R,2,Royal College of Surgeons
622,Dumon,x,110,Societe Archeologique de Namur
625,Duncan,Francis,11,Geological Society
625,Duncan,Francis,8,Royal Geographical Society
626,Duncan,Peter Martin,11,Geological Society
626,Duncan,Peter Martin,21,Royal Society
630,Dunlop,R H W,8,Royal Geographical Society
631,Dunn,Robert,2,Royal College of Surgeons
631,Dunn,Robert,6,Medical and Chirurgical Society of London
632,Dunraven & Mountearl,x,21,Royal Society
638,Earl,George Windsor,26,Royal Asiatic Society
639,Eassie,William,16,Linnean Society of London
639,Eassie,William,11,Geological Society
639,Eassie,William,8,Royal Geographical Society
640,Eastwood,Joseph William,2,Royal College of Surgeons
643,Eddy,Casper W,111,Royal Colonial Institute
643,Eddy,Casper W,112,National Association for the Promotion of Social Sciences
644,Edmonston,Thomas,15,Royal Society of Literature
645,Edwards,J  Passmore,14,"Society for the Encouragement of Arts, Manufactures and Commerce"
649,Egerton,Francis,21,Royal Society
650,Egerton,George Granville Francis,21,Royal Society
658,Ellis,James,64,British Archaeological Association
672,Evans,John,113,Numismatic Society
672,Evans,John,21,Royal Society
672,Evans,John,16,Linnean Society of London
672,Evans,John,11,Geological Society
679,Fairbairn,William,21,Royal Society
679,Fairbairn,William,14,"Society for the Encouragement of Arts, Manufactures and Commerce"
687,Faught,J G,33,Royal College of Surgeons Edinburgh
691,Fedschenko,Alexis,54,Societe des Amis de la Nature of Moscow
693,Ferguson,William,16,Linnean Society of London
