"Source","Target"
Charles Henry Gatty,Cambridge Philosophical Society
Paul Gervais,Geological Society
George Duncan Gibb,Geological Society
George Stacey Gibson,Society of Friends
Andrew Gilmour,Royal College of Physicians
Thomas Godrich,Royal College of Physicians
Augustus Goldsmid,Society of Antiquaries
Augustus Goldsmid,Zoological Society
Charles Rowland Goodman,Royal College of Surgeons
Richard Thomas Gore,Royal College of Surgeons
Charles Edward Gover,"Royal Society for the Encouragement of Arts, Manufactures and Commerce"
Charles Edward Gover,Royal Asiatic Society
Pierre Gratiolet,Anthropological Society of Paris
John Grattan,Royal College of Surgeons
Ryves William Graves,Royal College of Surgeons
John Grayling,Royal College of Surgeons
Frederick King Green,Royal College of Surgeons
George Bellas Greenough,Royal Society
George Bellas Greenough,Geological Society
William Greenwell,Society of Antiquaries
William Greenwell,Royal Society of Edinburgh
William Greenwell,Royal Society
William Greenwell,Cumberland and Westmorland Antiquarian and Archaeological Society
William Rathbone Greg,Metaphysical Society
Walter Gregor,Folklore Society
Walter Gregor,Scottish Text Society
Francis Griffiths,Royal College of Surgeons
Francis Griffiths,Chemical Society
Francis Griffiths,Microscopical Society of London
Francis Griffiths,Pathological Society of London
John Grover,Royal Society
William Vernon Guise,Geological Society
William Vernon Guise,Linnean Society of London
John Gunn,Geological Society
John Gunn,Norwich and Norfolk Geological Society
Johann Franz ('Julius') Haast,Royal Society
Henry Hallam,Royal Society
H J B Hancock,Royal Geographical Society
Charles Harding,Royal Geographical Society
Charles Harding,Statistical Society
Charles Harding,Royal Society of Literature
William Harding,Royal College of Surgeons
William Harding,Academia Quirurgia of Madrid
William Hardman,Royal Geographical Society
William Hardman,Zoological Society
C E Harle,Royal College of Surgeons
Thomas Harlin,Royal Society
Thomas Harlin,Royal Institution
Thomas Harlin,Royal Meteorological Society
Thomas Harlin,Geological Society
James Penn Harris,Royal College of Surgeons
Charles (1) Harrison,Royal Society of Literature
Charles (1) Harrison,Society of Antiquaries
Ernest Abraham Hart,Royal College of Surgeons
Richard Haughton,Royal Asiatic Society
George Hawkins,British Archaeological Association
Walter Hawkins,Society of Antiquaries
Walter Hawkins,British Archaeological Association
Walter Hawkins,Numismatic Society
Thomas Hayle,Royal College of Surgeons Edinburgh
Thomas Hayle,British Homeopathic Society
Thomas Hayle,Northern Homeopathic Society
