"Source","Target"
Charles Jeremiah Renshaw,AI
Edward Jackson Riccard,AI
Franklin Thomas Richards,AI
Charles Richardson,AI
Francis Richardson,AI
George Thorne Ricketts,AI
"x Ripon, De Grey and",AI
John Henry Rivett-Carnac,AI
Charles Robert des Ruffieres,AI
Daniel Brooke Robertson,AI
Edward Robinson,AI
William Robinson,AI
Sampson Roch,AI
George Rogers,AI
George Rolleston,AI
Hyacinthe Ronay,AI
Charles Rooke,AI
James Anderson Rose,AI
x Rosehill,AI
John George Clunies Ross,AI
Ankithum Venkata Nursing Row,AI
Harry Crommelin Rowcroft,AI
Frederick William Rudler,AI
H  Hodgson Rugg,AI
John Ruskin,AI
A H Russell,AI
Charles E Russell,AI
Edward Ryan,AI
Oluf Rygh,AI
David Salomons,AI
William Severin Salting,AI
Alfred Sanders,AI
W  Walbank Sanderson,AI
W H Scattergood,AI
William Mason Scharlieb,AI
Carl Ritter von Scherzer,AI
E Schiemann,AI
John (2) Scott,AI
Robert S Scott,AI
Thomas Scott,AI
John Scouler,AI
Lucy Ellen Sewall,AI
Peter Sharp,AI
Frederick George Shaw,AI
x Sheffield,AI
John Shortt,AI
Charles Lionel Showers,AI
Ramon de Silva-Ferro,AI
Frank Simpson,AI
James Simpson,AI
Frederick Mackenzie Skues,AI
William Mackenzie Skues,AI
Bath Charles Smart,AI
Andrew Smith,AI
John Smith,AI
Protheroe Smith,AI
Thomas Eustace Smith,AI
Thomas James Smith,AI
Worthington George Smith,AI
William Somervell,AI
Philip Southby,AI
Henry King Spark,AI
William Spottiswoode,AI
Ephraim George Squier,AI
George St Clair,AI
Spencer St John,AI
William Edward Stanbridge,AI
Japetus Steenstrup,AI
Carl (Karl) Steinhauer,AI
Charles Stenning,AI
William Frederick Cowell Stepney,AI
N  Henry Stevens,AI
Alexander Patrick Stewart,AI
Charles Edward Stewart,AI
John Stirling,AI
David Henry Stone,AI
William Story,AI
John Marmaduke Stourton,AI
James Strathern,AI
Andrew Struthers,AI
John William Studart,AI
Peter Cormac Sutherland,AI
Horace Swete,AI
Algernon Charles Swinburne,AI
Robert Swinhoe,AI
Francis Tagart,AI
Lawson Tait,AI
James Talbot de Malahide,AI
Richard Temple,AI
Edward Tenison Ryan Tenison,AI
John Tennant,AI
"William, Jun Theobald",AI
Connop Thirlwall,AI
Frederick Thompson,AI
George C Thompson,AI
John Thomson,AI
L E Threlkeld,AI
Edward Thurlow,AI
John Thurnam,AI
Richard Hill Tiddeman,AI
Samuel Timmins,AI
John Tolhurst,AI
Albert Tootal,AI
Arthur Trevelyan,AI
Nicolas Trubner,AI
Charles jun Tuckett,AI
Thomas Harrington Tuke,AI
John Underwood,AI
Jonas Daniel Vaughan,AI
William Sandys Wright Vaux,AI
George Venables Vernon,AI
Carl Vogt,AI
Thomas Francis Wade,AI
Cornelius Walford,AI
Charles Pyndar Beauchamp Walker,AI
James Sydney Walker,AI
Thomas Walker,AI
Alfred Russel Wallace,AI
Joshua Walmsley,AI
Phillipp Alexander Walther,AI
Ottiwell Charles Waterfield,AI
Samuel Watson,AI
Robert Watt,AI
Hermann Welcker,AI
Hodder Michael Westropp,AI
James Whishaw,AI
x Wienecke,AI
John Gardner Wilkinson,AI
John (1) Williams,AI
John Wilkins Williams,AI
Daniel Wilson,AI
Frank Wilson,AI
Alfred Wiltshire,AI
